J,runs,median_retained,median_time,q1_time,q3_time,max_time
2,160,10687.0,149.34955844999058,79.35747064999305,220.15523150001536,454.3885782000143
3,160,19509.0,268.6060669000144,136.92201149999164,392.2498840999906,857.7251827999717
4,160,28420.0,808.097748500004,486.3174468000361,1007.7409759500006,2729.995047900011
