J,roeds_n,roed_n,roeds_nominal,roeds_full,roed_full
2,57.5,120.5,0.8602737161114321,6.670917537041776e-05,0.8598980055947911
3,68.875,202.875,0.8603164205214409,5.351856917884696e-05,0.8542640438609239
4,81.0,290.625,0.8605189805456261,2.9942668413194553e-05,0.8516474938499596
