delta_T,delta_E,worst_g1,mean_g1
0.0,0.0,0.8012172163087107,0.8552698477685583
0.0,0.025,0.6958540644846851,0.7946471682489197
0.0,0.05,0.5463916147385489,0.6942102961305645
0.025,0.0,0.6781529342448257,0.7718373845539656
0.025,0.025,0.609552883305975,0.720554491946226
0.025,0.05,0.4721249287624893,0.6285926303117529
0.05,0.0,0.5184828740422638,0.6402063483752977
0.05,0.025,0.47233696242006823,0.5942282240093526
0.05,0.05,0.3598327122836764,0.5166679787459546
