J,method,xplot,fwer_ratio
2,MERIT,0.835,0.9833999999999999
2,Tabata,1.8350000000000002,0.8771500587857273
2,ROED-EA,2.835,0.8771500587857273
2,ROED-B,3.835,0.926966064617849
2,ROED,4.835,0.9908468331268594
2,MERIT,0.845,0.9944
2,Tabata,1.8450000000000002,0.8596574397807855
2,ROED-EA,2.845,0.8596574397807855
2,ROED-B,3.845,0.9709566124262237
2,ROED,4.845,0.9709566124262237
2,MERIT,0.855,0.6644999999999999
2,Tabata,1.8550000000000002,0.8726937302329407
2,ROED-EA,2.855,0.8726937302329407
2,ROED-B,3.855,0.9614057311737634
2,ROED,4.855,0.9876060743480253
2,MERIT,0.865,0.706
2,Tabata,1.8650000000000002,0.8087172061168657
2,ROED-EA,2.865,0.7953189590074483
2,ROED-B,3.865,0.9174378065171152
2,ROED,4.865,0.9174378065171152
2,MERIT,0.875,0.9198000000000001
2,Tabata,1.875,0.9033595401295003
2,ROED-EA,2.875,0.9033595401295003
2,ROED-B,3.875,0.9688381424498815
2,ROED,4.875,0.9887437905773977
2,MERIT,0.885,0.7792
2,Tabata,1.885,0.8054689923574698
2,ROED-EA,2.8850000000000002,0.8054689923574698
2,ROED-B,3.8850000000000002,0.9648798583415341
2,ROED,4.885,0.9648798583415341
2,MERIT,0.895,0.8159
2,Tabata,1.895,0.9599253812650643
2,ROED-EA,2.895,0.9834039212922019
2,ROED-B,3.895,0.9704046345076678
2,ROED,4.8950000000000005,0.9704046345076678
2,MERIT,0.905,0.8996
2,Tabata,1.905,0.7758718968870226
2,ROED-EA,2.9050000000000002,0.9374053251613235
2,ROED-B,3.9050000000000002,0.9723411578575225
2,ROED,4.905,0.9752833121261895
