pT,pE,fwer
0.466667,0.166667,0.0502559143
0.500000,0.166667,0.0463770447
0.533333,0.166667,0.0450809996
0.566667,0.166667,0.0447254007
0.600000,0.166667,0.0446465571
0.633333,0.166667,0.0446327141
0.666667,0.166667,0.0446308377
0.700000,0.166667,0.0446306477
0.733333,0.166667,0.0446306339
0.766667,0.166667,0.0446306332
0.800000,0.166667,0.0446306332
0.833333,0.166667,0.0446306332
0.866667,0.166667,0.0446306332
0.900000,0.166667,0.0446306332
0.933333,0.166667,0.0446306332
0.966667,0.166667,0.0446306332
1.000000,0.166667,0.0446306332
0.000000,0.200000,nan
0.033333,0.200000,nan
0.066667,0.200000,nan
0.100000,0.200000,nan
0.133333,0.200000,nan
0.166667,0.200000,nan
0.200000,0.200000,nan
0.233333,0.200000,nan
0.266667,0.200000,nan
0.300000,0.200000,nan
0.333333,0.200000,nan
0.366667,0.200000,nan
0.400000,0.200000,0.0908408748
0.433333,0.200000,0.0636816329
0.466667,0.200000,0.0513245477
0.500000,0.200000,0.0466156292
0.533333,0.200000,0.0451214878
0.566667,0.200000,0.0447303550
0.600000,0.200000,0.0446469625
0.633333,0.200000,0.0446327340
0.666667,0.200000,0.0446308382
0.700000,0.200000,0.0446306477
0.733333,0.200000,0.0446306339
0.766667,0.200000,0.0446306332
0.800000,0.200000,0.0446306332
0.833333,0.200000,0.0446306332
0.866667,0.200000,0.0446306332
0.900000,0.200000,0.0446306332
0.933333,0.200000,0.0446306332
0.966667,0.200000,0.0446306332
1.000000,0.200000,0.0446306332
0.000000,0.233333,nan
0.033333,0.233333,nan
0.066667,0.233333,nan
0.100000,0.233333,nan
0.133333,0.233333,nan
0.166667,0.233333,nan
0.200000,0.233333,nan
0.233333,0.233333,nan
0.266667,0.233333,nan
0.300000,0.233333,nan
0.333333,0.233333,nan
0.366667,0.233333,nan
0.400000,0.233333,0.0962231480
0.433333,0.233333,0.0652907295
0.466667,0.233333,0.0517023802
0.500000,0.233333,0.0466827817
0.533333,0.233333,0.0451300644
0.566667,0.233333,0.0447310856
0.600000,0.233333,0.0446469996
0.633333,0.233333,0.0446327349
0.666667,0.233333,0.0446308382
0.700000,0.233333,0.0446306477
0.733333,0.233333,0.0446306339
0.766667,0.233333,0.0446306332
0.800000,0.233333,0.0446306332
0.833333,0.233333,0.0446306332
0.866667,0.233333,0.0446306332
0.900000,0.233333,0.0446306332
0.933333,0.233333,0.0446306332
0.966667,0.233333,0.0446306332
1.000000,0.233333,0.0446306332
0.000000,0.266667,nan
0.033333,0.266667,nan
0.066667,0.266667,nan
0.100000,0.266667,nan
0.133333,0.266667,nan
0.166667,0.266667,nan
0.200000,0.266667,nan
0.233333,0.266667,nan
0.266667,0.266667,nan
0.300000,0.266667,nan
0.333333,0.266667,nan
0.366667,0.266667,nan
0.400000,0.266667,0.0981503402
0.433333,0.266667,0.0657694196
0.466667,0.266667,0.0517918947
0.500000,0.266667,0.0466947566
