pT,pE,fwer
0.966667,0.433333,0.0000000000
1.000000,0.433333,0.0000000000
0.000000,0.466667,nan
0.033333,0.466667,nan
0.066667,0.466667,nan
0.100000,0.466667,nan
0.133333,0.466667,nan
0.166667,0.466667,nan
0.200000,0.466667,nan
0.233333,0.466667,nan
0.266667,0.466667,nan
0.300000,0.466667,nan
0.333333,0.466667,nan
0.366667,0.466667,nan
0.400000,0.466667,0.0465092002
0.433333,0.466667,0.0169606464
0.466667,0.466667,0.0052786660
0.500000,0.466667,0.0013952586
0.533333,0.466667,0.0003116000
0.566667,0.466667,0.0000585623
0.600000,0.466667,0.0000092558
0.633333,0.466667,0.0000012353
0.666667,0.466667,0.0000001400
0.700000,0.466667,0.0000000134
0.733333,0.466667,0.0000000010
0.766667,0.466667,0.0000000001
0.800000,0.466667,0.0000000000
0.833333,0.466667,0.0000000000
0.866667,0.466667,0.0000000000
0.900000,0.466667,0.0000000000
0.933333,0.466667,0.0000000000
0.966667,0.466667,0.0000000000
1.000000,0.466667,0.0000000000
0.000000,0.500000,nan
0.033333,0.500000,nan
0.066667,0.500000,nan
0.100000,0.500000,nan
0.133333,0.500000,nan
0.166667,0.500000,nan
0.200000,0.500000,nan
0.233333,0.500000,nan
0.266667,0.500000,nan
0.300000,0.500000,nan
0.333333,0.500000,nan
0.366667,0.500000,nan
0.400000,0.500000,0.0465124138
0.433333,0.500000,0.0169618068
0.466667,0.500000,0.0052790221
0.500000,0.500000,0.0013953508
0.533333,0.500000,0.0003116200
0.566667,0.500000,0.0000585658
0.600000,0.500000,0.0000092563
0.633333,0.500000,0.0000012353
0.666667,0.500000,0.0000001400
0.700000,0.500000,0.0000000134
0.733333,0.500000,0.0000000010
0.766667,0.500000,0.0000000001
0.800000,0.500000,0.0000000000
0.833333,0.500000,0.0000000000
0.866667,0.500000,0.0000000000
0.900000,0.500000,0.0000000000
0.933333,0.500000,0.0000000000
0.966667,0.500000,0.0000000000
1.000000,0.500000,0.0000000000
0.000000,0.533333,nan
0.033333,0.533333,nan
0.066667,0.533333,nan
0.100000,0.533333,nan
0.133333,0.533333,nan
0.166667,0.533333,nan
0.200000,0.533333,nan
0.233333,0.533333,nan
0.266667,0.533333,nan
0.300000,0.533333,nan
0.333333,0.533333,nan
0.366667,0.533333,nan
0.400000,0.533333,0.0465130621
0.433333,0.533333,0.0169620413
0.466667,0.533333,0.0052790943
0.500000,0.533333,0.0013953696
0.533333,0.533333,0.0003116241
0.566667,0.533333,0.0000585666
0.600000,0.533333,0.0000092564
0.633333,0.533333,0.0000012354
0.666667,0.533333,0.0000001400
0.700000,0.533333,0.0000000134
0.733333,0.533333,0.0000000010
0.766667,0.533333,0.0000000001
0.800000,0.533333,0.0000000000
0.833333,0.533333,0.0000000000
0.866667,0.533333,0.0000000000
0.900000,0.533333,0.0000000000
0.933333,0.533333,0.0000000000
0.966667,0.533333,0.0000000000
1.000000,0.533333,0.0000000000
0.000000,0.566667,nan
0.033333,0.566667,nan
0.066667,0.566667,nan
0.100000,0.566667,nan
0.133333,0.566667,nan
0.166667,0.566667,nan
0.200000,0.566667,nan
0.233333,0.566667,nan
0.266667,0.566667,nan
0.300000,0.566667,nan
0.333333,0.566667,nan
0.366667,0.566667,nan
0.400000,0.566667,0.0465131782
0.433333,0.566667,0.0169620835
0.466667,0.566667,0.0052791073
0.500000,0.566667,0.0013953730
0.533333,0.566667,0.0003116248
0.566667,0.566667,0.0000585667
0.600000,0.566667,0.0000092564
0.633333,0.566667,0.0000012354
0.666667,0.566667,0.0000001400
0.700000,0.566667,0.0000000134
0.733333,0.566667,0.0000000010
0.766667,0.566667,0.0000000001
0.800000,0.566667,0.0000000000
0.833333,0.566667,0.0000000000
0.866667,0.566667,0.0000000000
0.900000,0.566667,0.0000000000
0.933333,0.566667,0.0000000000
0.966667,0.566667,0.0000000000
1.000000,0.566667,0.0000000000
0.000000,0.600000,nan
0.033333,0.600000,nan
0.066667,0.600000,nan
0.100000,0.600000,nan
0.133333,0.600000,nan
0.166667,0.600000,nan
0.200000,0.600000,nan
0.233333,0.600000,nan
0.266667,0.600000,nan
0.300000,0.600000,nan
0.333333,0.600000,nan
0.366667,0.600000,nan
0.400000,0.600000,0.0465131966
0.433333,0.600000,0.0169620901
0.466667,0.600000,0.0052791094
0.500000,0.600000,0.0013953735
0.533333,0.600000,0.0003116250
0.566667,0.600000,0.0000585667
0.600000,0.600000,0.0000092564
0.633333,0.600000,0.0000012354
0.666667,0.600000,0.0000001400
0.700000,0.600000,0.0000000134
0.733333,0.600000,0.0000000010
0.766667,0.600000,0.0000000001
0.800000,0.600000,0.0000000000
0.833333,0.600000,0.0000000000
0.866667,0.600000,0.0000000000
0.900000,0.600000,0.0000000000
0.933333,0.600000,0.0000000000
0.966667,0.600000,0.0000000000
1.000000,0.600000,0.0000000000
0.000000,0.633333,nan
0.033333,0.633333,nan
0.066667,0.633333,nan
0.100000,0.633333,nan
0.133333,0.633333,nan
0.166667,0.633333,nan
0.200000,0.633333,nan
0.233333,0.633333,nan
0.266667,0.633333,nan
0.300000,0.633333,nan
0.333333,0.633333,nan
0.366667,0.633333,nan
0.400000,0.633333,0.0465131991
0.433333,0.633333,0.0169620910
0.466667,0.633333,0.0052791096
0.500000,0.633333,0.0013953736
0.533333,0.633333,0.0003116250
0.566667,0.633333,0.0000585667
0.600000,0.633333,0.0000092564
0.633333,0.633333,0.0000012354
0.666667,0.633333,0.0000001400
0.700000,0.633333,0.0000000134
0.733333,0.633333,0.0000000010
0.766667,0.633333,0.0000000001
0.800000,0.633333,0.0000000000
0.833333,0.633333,0.0000000000
0.866667,0.633333,0.0000000000
0.900000,0.633333,0.0000000000
0.933333,0.633333,0.0000000000
0.966667,0.633333,0.0000000000
1.000000,0.633333,0.0000000000
0.000000,0.666667,nan
0.033333,0.666667,nan
0.066667,0.666667,nan
0.100000,0.666667,nan
0.133333,0.666667,nan
0.166667,0.666667,nan
0.200000,0.666667,nan
0.233333,0.666667,nan
0.266667,0.666667,nan
0.300000,0.666667,nan
0.333333,0.666667,nan
0.366667,0.666667,nan
0.400000,0.666667,0.0465131993
0.433333,0.666667,0.0169620911
0.466667,0.666667,0.0052791097
0.500000,0.666667,0.0013953736
0.533333,0.666667,0.0003116250
0.566667,0.666667,0.0000585667
0.600000,0.666667,0.0000092564
0.633333,0.666667,0.0000012354
0.666667,0.666667,0.0000001400
0.700000,0.666667,0.0000000134
0.733333,0.666667,0.0000000010
0.766667,0.666667,0.0000000001
0.800000,0.666667,0.0000000000
0.833333,0.666667,0.0000000000
0.866667,0.666667,0.0000000000
0.900000,0.666667,0.0000000000
0.933333,0.666667,0.0000000000
0.966667,0.666667,0.0000000000
1.000000,0.666667,0.0000000000
0.000000,0.700000,nan
0.033333,0.700000,nan
0.066667,0.700000,nan
0.100000,0.700000,nan
0.133333,0.700000,nan
0.166667,0.700000,nan
0.200000,0.700000,nan
0.233333,0.700000,nan
0.266667,0.700000,nan
0.300000,0.700000,nan
0.333333,0.700000,nan
0.366667,0.700000,nan
0.400000,0.700000,0.0465131994
0.433333,0.700000,0.0169620911
0.466667,0.700000,0.0052791097
0.500000,0.700000,0.0013953736
0.533333,0.700000,0.0003116250
0.566667,0.700000,0.0000585667
0.600000,0.700000,0.0000092564
0.633333,0.700000,0.0000012354
0.666667,0.700000,0.0000001400
0.700000,0.700000,0.0000000134
0.733333,0.700000,0.0000000010
0.766667,0.700000,0.0000000001
0.800000,0.700000,0.0000000000
