J,method,xplot,fwer_ratio
3,MERIT,0.965,1.009
3,Tabata,1.965,0.8234381907135635
3,ROED-EA,2.965,0.8234381907135635
3,ROED-B,3.965,0.9620474468710749
3,ROED,4.965,0.9620474468710749
3,MERIT,0.975,0.9253999999999999
3,Tabata,1.975,0.8391467779808126
3,ROED-EA,2.975,0.860704709635387
3,ROED-B,3.975,0.9730944629511185
3,ROED,4.975,0.9871811334857328
3,MERIT,0.985,0.8959
3,Tabata,1.985,0.816369727303704
3,ROED-EA,2.985,0.816369727303704
3,ROED-B,3.985,0.9636096479128553
3,ROED,4.985,0.9636096479128553
3,MERIT,0.995,0.46269999999999994
3,Tabata,1.995,0.630640198535477
3,ROED-EA,2.995,0.8014657214723353
3,ROED-B,3.995,0.9265677209350387
3,ROED,4.995,0.9265677209350387
3,MERIT,1.005,1.008
3,Tabata,2.005,0.8565365447588302
3,ROED-EA,3.005,0.8565365447588302
3,ROED-B,4.005,0.9622592500899874
3,ROED,5.005,0.9990645019756261
3,MERIT,1.015,0.9497999999999999
3,Tabata,2.015,0.9484597025312791
3,ROED-EA,3.015,0.9934140389219026
3,ROED-B,4.015,0.9498670521823405
3,ROED,5.015,0.9942263038073373
3,MERIT,1.025,1.0188
3,Tabata,2.025,0.9090639070270101
3,ROED-EA,3.025,0.9746505834707919
3,ROED-B,4.025,0.9577959929662283
3,ROED,5.025,0.9746505834707919
3,MERIT,1.035,0.6009
3,Tabata,2.035,0.6877542785327317
3,ROED-EA,3.035,0.9393835785301408
3,ROED-B,4.035,0.9655481344788563
3,ROED,5.035,0.9655481344788563
