x,y
0.78,0.89775
1.22,0.89775
nan,nan
1.78,0.857225898952
2.22,0.857225898952
nan,nan
2.78,0.87212056326
3.22,0.87212056326
nan,nan
3.78,0.962153348481
4.22,0.962153348481
nan,nan
4.78,0.977233544925
5.22,0.977233544925
nan,nan
