J,alpha,target,phi_E1,phi_E0,rho,simulations,seed,scenario,kind,parameters,metric,value,average_sample_size,engine_version
4,0.05,0.8,0.6,0.4,0,10000,20365554,P1,alternative,0.2;0.6;0.2;0.6;0.4;0.6;0.4;0.6,Power,0.9366,65,1.0.0
4,0.05,0.8,0.6,0.4,0,10000,20365554,P2,alternative,0.2;0.4;0.2;0.6;0.2;0.6;0.4;0.6,Power,0.9072,65,1.0.0
4,0.05,0.8,0.6,0.4,0,10000,20365554,P3,alternative,0.2;0.4;0.2;0.4;0.2;0.6;0.2;0.6,Power,0.9414,65,1.0.0
4,0.05,0.8,0.6,0.4,0.3,10000,20470283,H0_s0_k0,null,0.4;0.6;0.4;0.6;0.4;0.6;0.4;0.6,Type I error,0.0205,65,1.0.0
4,0.05,0.8,0.6,0.4,0.3,10000,20470283,H0_s0_k1,null,0.4;0.4;0.4;0.6;0.4;0.6;0.4;0.6,Type I error,0.0015,65,1.0.0
4,0.05,0.8,0.6,0.4,0.3,10000,20470283,H0_s0_k2,null,0.4;0.4;0.4;0.4;0.4;0.6;0.4;0.6,Type I error,0.0002,65,1.0.0
4,0.05,0.8,0.6,0.4,0.3,10000,20470283,H0_s0_k3,null,0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.6,Type I error,0,65,1.0.0
4,0.05,0.8,0.6,0.4,0.3,10000,20470283,H0_s0_k4,null,0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4,Type I error,0,65,1.0.0
4,0.05,0.8,0.6,0.4,0.3,10000,20470283,H0_s1_k1,null,0.2;0.4;0.4;0.6;0.4;0.6;0.4;0.6,Type I error,0.0485,65,1.0.0
4,0.05,0.8,0.6,0.4,0.3,10000,20470283,H0_s1_k2,null,0.2;0.4;0.4;0.4;0.4;0.6;0.4;0.6,Type I error,0.0019,65,1.0.0
4,0.05,0.8,0.6,0.4,0.3,10000,20470283,H0_s1_k3,null,0.2;0.4;0.4;0.4;0.4;0.4;0.4;0.6,Type I error,0.0001,65,1.0.0
4,0.05,0.8,0.6,0.4,0.3,10000,20470283,H0_s1_k4,null,0.2;0.4;0.4;0.4;0.4;0.4;0.4;0.4,Type I error,0,65,1.0.0
4,0.05,0.8,0.6,0.4,0.3,10000,20470283,H0_s2_k2,null,0.2;0.4;0.2;0.4;0.4;0.6;0.4;0.6,Type I error,0.0479,65,1.0.0
4,0.05,0.8,0.6,0.4,0.3,10000,20470283,H0_s2_k3,null,0.2;0.4;0.2;0.4;0.4;0.4;0.4;0.6,Type I error,0.0024,65,1.0.0
4,0.05,0.8,0.6,0.4,0.3,10000,20470283,H0_s2_k4,null,0.2;0.4;0.2;0.4;0.4;0.4;0.4;0.4,Type I error,0.0001,65,1.0.0
4,0.05,0.8,0.6,0.4,0.3,10000,20470283,H0_s3_k3,null,0.2;0.4;0.2;0.4;0.2;0.4;0.4;0.6,Type I error,0.0486,65,1.0.0
4,0.05,0.8,0.6,0.4,0.3,10000,20470283,H0_s3_k4,null,0.2;0.4;0.2;0.4;0.2;0.4;0.4;0.4,Type I error,0.0016,65,1.0.0
4,0.05,0.8,0.6,0.4,0.3,10000,20470283,H0_s4_k4,null,0.2;0.4;0.2;0.4;0.2;0.4;0.2;0.4,Type I error,0.0284,65,1.0.0
4,0.05,0.8,0.6,0.4,0.3,10000,20470283,W1,alternative,0.2;0.6;0.4;0.6;0.4;0.6;0.4;0.6,Power,0.8345,65,1.0.0
4,0.05,0.8,0.6,0.4,0.3,10000,20470283,W2,alternative,0.2;0.4;0.2;0.6;0.4;0.6;0.4;0.6,Power,0.8019,65,1.0.0
4,0.05,0.8,0.6,0.4,0.3,10000,20470283,W3,alternative,0.2;0.4;0.2;0.4;0.2;0.6;0.4;0.6,Power,0.8031,65,1.0.0
4,0.05,0.8,0.6,0.4,0.3,10000,20470283,W4,alternative,0.2;0.4;0.2;0.4;0.2;0.4;0.2;0.6,Power,0.8419,65,1.0.0
4,0.05,0.8,0.6,0.4,0.3,10000,20470283,P1,alternative,0.2;0.6;0.2;0.6;0.4;0.6;0.4;0.6,Power,0.9408,65,1.0.0
4,0.05,0.8,0.6,0.4,0.3,10000,20470283,P2,alternative,0.2;0.4;0.2;0.6;0.2;0.6;0.4;0.6,Power,0.9099,65,1.0.0
4,0.05,0.8,0.6,0.4,0.3,10000,20470283,P3,alternative,0.2;0.4;0.2;0.4;0.2;0.6;0.2;0.6,Power,0.9394,65,1.0.0
4,0.05,0.9,0.3,0.1,0,10000,20365554,H0_s0_k0,null,0.4;0.3;0.4;0.3;0.4;0.3;0.4;0.3,Type I error,0.0369,69,1.0.0
4,0.05,0.9,0.3,0.1,0,10000,20365554,H0_s0_k1,null,0.4;0.1;0.4;0.3;0.4;0.3;0.4;0.3,Type I error,0.0032,69,1.0.0
4,0.05,0.9,0.3,0.1,0,10000,20365554,H0_s0_k2,null,0.4;0.1;0.4;0.1;0.4;0.3;0.4;0.3,Type I error,0.0003,69,1.0.0
4,0.05,0.9,0.3,0.1,0,10000,20365554,H0_s0_k3,null,0.4;0.1;0.4;0.1;0.4;0.1;0.4;0.3,Type I error,0,69,1.0.0
4,0.05,0.9,0.3,0.1,0,10000,20365554,H0_s0_k4,null,0.4;0.1;0.4;0.1;0.4;0.1;0.4;0.1,Type I error,0,69,1.0.0
4,0.05,0.9,0.3,0.1,0,10000,20365554,H0_s1_k1,null,0.2;0.1;0.4;0.3;0.4;0.3;0.4;0.3,Type I error,0.0448,69,1.0.0
4,0.05,0.9,0.3,0.1,0,10000,20365554,H0_s1_k2,null,0.2;0.1;0.4;0.1;0.4;0.3;0.4;0.3,Type I error,0.0038,69,1.0.0
4,0.05,0.9,0.3,0.1,0,10000,20365554,H0_s1_k3,null,0.2;0.1;0.4;0.1;0.4;0.1;0.4;0.3,Type I error,0.0004,69,1.0.0
4,0.05,0.9,0.3,0.1,0,10000,20365554,H0_s1_k4,null,0.2;0.1;0.4;0.1;0.4;0.1;0.4;0.1,Type I error,0,69,1.0.0
4,0.05,0.9,0.3,0.1,0,10000,20365554,H0_s2_k2,null,0.2;0.1;0.2;0.1;0.4;0.3;0.4;0.3,Type I error,0.0447,69,1.0.0
4,0.05,0.9,0.3,0.1,0,10000,20365554,H0_s2_k3,null,0.2;0.1;0.2;0.1;0.4;0.1;0.4;0.3,Type I error,0.0037,69,1.0.0
4,0.05,0.9,0.3,0.1,0,10000,20365554,H0_s2_k4,null,0.2;0.1;0.2;0.1;0.4;0.1;0.4;0.1,Type I error,0,69,1.0.0
4,0.05,0.9,0.3,0.1,0,10000,20365554,H0_s3_k3,null,0.2;0.1;0.2;0.1;0.2;0.1;0.4;0.3,Type I error,0.0426,69,1.0.0
4,0.05,0.9,0.3,0.1,0,10000,20365554,H0_s3_k4,null,0.2;0.1;0.2;0.1;0.2;0.1;0.4;0.1,Type I error,0.0002,69,1.0.0
4,0.05,0.9,0.3,0.1,0,10000,20365554,H0_s4_k4,null,0.2;0.1;0.2;0.1;0.2;0.1;0.2;0.1,Type I error,0.0072,69,1.0.0
4,0.05,0.9,0.3,0.1,0,10000,20365554,W1,alternative,0.2;0.3;0.4;0.3;0.4;0.3;0.4;0.3,Power,0.91,69,1.0.0
4,0.05,0.9,0.3,0.1,0,10000,20365554,W2,alternative,0.2;0.1;0.2;0.3;0.4;0.3;0.4;0.3,Power,0.9018,69,1.0.0
4,0.05,0.9,0.3,0.1,0,10000,20365554,W3,alternative,0.2;0.1;0.2;0.1;0.2;0.3;0.4;0.3,Power,0.8996,69,1.0.0
4,0.05,0.9,0.3,0.1,0,10000,20365554,W4,alternative,0.2;0.1;0.2;0.1;0.2;0.1;0.2;0.3,Power,0.9426,69,1.0.0
4,0.05,0.9,0.3,0.1,0,10000,20365554,P1,alternative,0.2;0.3;0.2;0.3;0.4;0.3;0.4;0.3,Power,0.9568,69,1.0.0
4,0.05,0.9,0.3,0.1,0,10000,20365554,P2,alternative,0.2;0.1;0.2;0.3;0.2;0.3;0.4;0.3,Power,0.9483,69,1.0.0
4,0.05,0.9,0.3,0.1,0,10000,20365554,P3,alternative,0.2;0.1;0.2;0.1;0.2;0.3;0.2;0.3,Power,0.9846,69,1.0.0
4,0.05,0.9,0.3,0.1,0.3,10000,20470283,H0_s0_k0,null,0.4;0.3;0.4;0.3;0.4;0.3;0.4;0.3,Type I error,0.0372,69,1.0.0
4,0.05,0.9,0.3,0.1,0.3,10000,20470283,H0_s0_k1,null,0.4;0.1;0.4;0.3;0.4;0.3;0.4;0.3,Type I error,0.0036,69,1.0.0
4,0.05,0.9,0.3,0.1,0.3,10000,20470283,H0_s0_k2,null,0.4;0.1;0.4;0.1;0.4;0.3;0.4;0.3,Type I error,0.0004,69,1.0.0
4,0.05,0.9,0.3,0.1,0.3,10000,20470283,H0_s0_k3,null,0.4;0.1;0.4;0.1;0.4;0.1;0.4;0.3,Type I error,0.0001,69,1.0.0
4,0.05,0.9,0.3,0.1,0.3,10000,20470283,H0_s0_k4,null,0.4;0.1;0.4;0.1;0.4;0.1;0.4;0.1,Type I error,0,69,1.0.0
4,0.05,0.9,0.3,0.1,0.3,10000,20470283,H0_s1_k1,null,0.2;0.1;0.4;0.3;0.4;0.3;0.4;0.3,Type I error,0.0479,69,1.0.0
4,0.05,0.9,0.3,0.1,0.3,10000,20470283,H0_s1_k2,null,0.2;0.1;0.4;0.1;0.4;0.3;0.4;0.3,Type I error,0.004,69,1.0.0
4,0.05,0.9,0.3,0.1,0.3,10000,20470283,H0_s1_k3,null,0.2;0.1;0.4;0.1;0.4;0.1;0.4;0.3,Type I error,0.0003,69,1.0.0
4,0.05,0.9,0.3,0.1,0.3,10000,20470283,H0_s1_k4,null,0.2;0.1;0.4;0.1;0.4;0.1;0.4;0.1,Type I error,0,69,1.0.0
4,0.05,0.9,0.3,0.1,0.3,10000,20470283,H0_s2_k2,null,0.2;0.1;0.2;0.1;0.4;0.3;0.4;0.3,Type I error,0.0444,69,1.0.0
4,0.05,0.9,0.3,0.1,0.3,10000,20470283,H0_s2_k3,null,0.2;0.1;0.2;0.1;0.4;0.1;0.4;0.3,Type I error,0.003,69,1.0.0
4,0.05,0.9,0.3,0.1,0.3,10000,20470283,H0_s2_k4,null,0.2;0.1;0.2;0.1;0.4;0.1;0.4;0.1,Type I error,0,69,1.0.0
4,0.05,0.9,0.3,0.1,0.3,10000,20470283,H0_s3_k3,null,0.2;0.1;0.2;0.1;0.2;0.1;0.4;0.3,Type I error,0.0412,69,1.0.0
4,0.05,0.9,0.3,0.1,0.3,10000,20470283,H0_s3_k4,null,0.2;0.1;0.2;0.1;0.2;0.1;0.4;0.1,Type I error,0.0004,69,1.0.0
4,0.05,0.9,0.3,0.1,0.3,10000,20470283,H0_s4_k4,null,0.2;0.1;0.2;0.1;0.2;0.1;0.2;0.1,Type I error,0.0076,69,1.0.0
4,0.05,0.9,0.3,0.1,0.3,10000,20470283,W1,alternative,0.2;0.3;0.4;0.3;0.4;0.3;0.4;0.3,Power,0.9059,69,1.0.0
4,0.05,0.9,0.3,0.1,0.3,10000,20470283,W2,alternative,0.2;0.1;0.2;0.3;0.4;0.3;0.4;0.3,Power,0.8975,69,1.0.0
4,0.05,0.9,0.3,0.1,0.3,10000,20470283,W3,alternative,0.2;0.1;0.2;0.1;0.2;0.3;0.4;0.3,Power,0.8989,69,1.0.0
4,0.05,0.9,0.3,0.1,0.3,10000,20470283,W4,alternative,0.2;0.1;0.2;0.1;0.2;0.1;0.2;0.3,Power,0.9405,69,1.0.0
4,0.05,0.9,0.3,0.1,0.3,10000,20470283,P1,alternative,0.2;0.3;0.2;0.3;0.4;0.3;0.4;0.3,Power,0.9548,69,1.0.0
4,0.05,0.9,0.3,0.1,0.3,10000,20470283,P2,alternative,0.2;0.1;0.2;0.3;0.2;0.3;0.4;0.3,Power,0.9508,69,1.0.0
4,0.05,0.9,0.3,0.1,0.3,10000,20470283,P3,alternative,0.2;0.1;0.2;0.1;0.2;0.3;0.2;0.3,Power,0.9863,69,1.0.0
4,0.05,0.9,0.6,0.4,0,10000,20365554,H0_s0_k0,null,0.4;0.6;0.4;0.6;0.4;0.6;0.4;0.6,Type I error,0.0182,87,1.0.0
4,0.05,0.9,0.6,0.4,0,10000,20365554,H0_s0_k1,null,0.4;0.4;0.4;0.6;0.4;0.6;0.4;0.6,Type I error,0.0014,87,1.0.0
4,0.05,0.9,0.6,0.4,0,10000,20365554,H0_s0_k2,null,0.4;0.4;0.4;0.4;0.4;0.6;0.4;0.6,Type I error,0,87,1.0.0
4,0.05,0.9,0.6,0.4,0,10000,20365554,H0_s0_k3,null,0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.6,Type I error,0,87,1.0.0
4,0.05,0.9,0.6,0.4,0,10000,20365554,H0_s0_k4,null,0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4,Type I error,0,87,1.0.0
4,0.05,0.9,0.6,0.4,0,10000,20365554,H0_s1_k1,null,0.2;0.4;0.4;0.6;0.4;0.6;0.4;0.6,Type I error,0.0446,87,1.0.0
4,0.05,0.9,0.6,0.4,0,10000,20365554,H0_s1_k2,null,0.2;0.4;0.4;0.4;0.4;0.6;0.4;0.6,Type I error,0.0028,87,1.0.0
4,0.05,0.9,0.6,0.4,0,10000,20365554,H0_s1_k3,null,0.2;0.4;0.4;0.4;0.4;0.4;0.4;0.6,Type I error,0,87,1.0.0
4,0.05,0.9,0.6,0.4,0,10000,20365554,H0_s1_k4,null,0.2;0.4;0.4;0.4;0.4;0.4;0.4;0.4,Type I error,0,87,1.0.0
4,0.05,0.9,0.6,0.4,0,10000,20365554,H0_s2_k2,null,0.2;0.4;0.2;0.4;0.4;0.6;0.4;0.6,Type I error,0.049,87,1.0.0
4,0.05,0.9,0.6,0.4,0,10000,20365554,H0_s2_k3,null,0.2;0.4;0.2;0.4;0.4;0.4;0.4;0.6,Type I error,0.0031,87,1.0.0
4,0.05,0.9,0.6,0.4,0,10000,20365554,H0_s2_k4,null,0.2;0.4;0.2;0.4;0.4;0.4;0.4;0.4,Type I error,0.0001,87,1.0.0
4,0.05,0.9,0.6,0.4,0,10000,20365554,H0_s3_k3,null,0.2;0.4;0.2;0.4;0.2;0.4;0.4;0.6,Type I error,0.046,87,1.0.0
4,0.05,0.9,0.6,0.4,0,10000,20365554,H0_s3_k4,null,0.2;0.4;0.2;0.4;0.2;0.4;0.4;0.4,Type I error,0.0024,87,1.0.0
4,0.05,0.9,0.6,0.4,0,10000,20365554,H0_s4_k4,null,0.2;0.4;0.2;0.4;0.2;0.4;0.2;0.4,Type I error,0.0306,87,1.0.0
4,0.05,0.9,0.6,0.4,0,10000,20365554,W1,alternative,0.2;0.6;0.4;0.6;0.4;0.6;0.4;0.6,Power,0.9379,87,1.0.0
4,0.05,0.9,0.6,0.4,0,10000,20365554,W2,alternative,0.2;0.4;0.2;0.6;0.4;0.6;0.4;0.6,Power,0.9031,87,1.0.0
4,0.05,0.9,0.6,0.4,0,10000,20365554,W3,alternative,0.2;0.4;0.2;0.4;0.2;0.6;0.4;0.6,Power,0.9022,87,1.0.0
4,0.05,0.9,0.6,0.4,0,10000,20365554,W4,alternative,0.2;0.4;0.2;0.4;0.2;0.4;0.2;0.6,Power,0.9194,87,1.0.0
4,0.05,0.9,0.6,0.4,0,10000,20365554,P1,alternative,0.2;0.6;0.2;0.6;0.4;0.6;0.4;0.6,Power,0.9753,87,1.0.0
4,0.05,0.9,0.6,0.4,0,10000,20365554,P2,alternative,0.2;0.4;0.2;0.6;0.2;0.6;0.4;0.6,Power,0.9476,87,1.0.0
4,0.05,0.9,0.6,0.4,0,10000,20365554,P3,alternative,0.2;0.4;0.2;0.4;0.2;0.6;0.2;0.6,Power,0.963,87,1.0.0
4,0.05,0.9,0.6,0.4,0.3,10000,20470283,H0_s0_k0,null,0.4;0.6;0.4;0.6;0.4;0.6;0.4;0.6,Type I error,0.0181,87,1.0.0
4,0.05,0.9,0.6,0.4,0.3,10000,20470283,H0_s0_k1,null,0.4;0.4;0.4;0.6;0.4;0.6;0.4;0.6,Type I error,0.0006,87,1.0.0
4,0.05,0.9,0.6,0.4,0.3,10000,20470283,H0_s0_k2,null,0.4;0.4;0.4;0.4;0.4;0.6;0.4;0.6,Type I error,0,87,1.0.0
4,0.05,0.9,0.6,0.4,0.3,10000,20470283,H0_s0_k3,null,0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.6,Type I error,0,87,1.0.0
4,0.05,0.9,0.6,0.4,0.3,10000,20470283,H0_s0_k4,null,0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4,Type I error,0,87,1.0.0
4,0.05,0.9,0.6,0.4,0.3,10000,20470283,H0_s1_k1,null,0.2;0.4;0.4;0.6;0.4;0.6;0.4;0.6,Type I error,0.0503,87,1.0.0
4,0.05,0.9,0.6,0.4,0.3,10000,20470283,H0_s1_k2,null,0.2;0.4;0.4;0.4;0.4;0.6;0.4;0.6,Type I error,0.0028,87,1.0.0
4,0.05,0.9,0.6,0.4,0.3,10000,20470283,H0_s1_k3,null,0.2;0.4;0.4;0.4;0.4;0.4;0.4;0.6,Type I error,0.0004,87,1.0.0
4,0.05,0.9,0.6,0.4,0.3,10000,20470283,H0_s1_k4,null,0.2;0.4;0.4;0.4;0.4;0.4;0.4;0.4,Type I error,0,87,1.0.0
4,0.05,0.9,0.6,0.4,0.3,10000,20470283,H0_s2_k2,null,0.2;0.4;0.2;0.4;0.4;0.6;0.4;0.6,Type I error,0.0443,87,1.0.0
4,0.05,0.9,0.6,0.4,0.3,10000,20470283,H0_s2_k3,null,0.2;0.4;0.2;0.4;0.4;0.4;0.4;0.6,Type I error,0.0027,87,1.0.0
4,0.05,0.9,0.6,0.4,0.3,10000,20470283,H0_s2_k4,null,0.2;0.4;0.2;0.4;0.4;0.4;0.4;0.4,Type I error,0,87,1.0.0
4,0.05,0.9,0.6,0.4,0.3,10000,20470283,H0_s3_k3,null,0.2;0.4;0.2;0.4;0.2;0.4;0.4;0.6,Type I error,0.0453,87,1.0.0
4,0.05,0.9,0.6,0.4,0.3,10000,20470283,H0_s3_k4,null,0.2;0.4;0.2;0.4;0.2;0.4;0.4;0.4,Type I error,0.0027,87,1.0.0
4,0.05,0.9,0.6,0.4,0.3,10000,20470283,H0_s4_k4,null,0.2;0.4;0.2;0.4;0.2;0.4;0.2;0.4,Type I error,0.0327,87,1.0.0
4,0.05,0.9,0.6,0.4,0.3,10000,20470283,W1,alternative,0.2;0.6;0.4;0.6;0.4;0.6;0.4;0.6,Power,0.9255,87,1.0.0
4,0.05,0.9,0.6,0.4,0.3,10000,20470283,W2,alternative,0.2;0.4;0.2;0.6;0.4;0.6;0.4;0.6,Power,0.9004,87,1.0.0
4,0.05,0.9,0.6,0.4,0.3,10000,20470283,W3,alternative,0.2;0.4;0.2;0.4;0.2;0.6;0.4;0.6,Power,0.9058,87,1.0.0
4,0.05,0.9,0.6,0.4,0.3,10000,20470283,W4,alternative,0.2;0.4;0.2;0.4;0.2;0.4;0.2;0.6,Power,0.9246,87,1.0.0
4,0.05,0.9,0.6,0.4,0.3,10000,20470283,P1,alternative,0.2;0.6;0.2;0.6;0.4;0.6;0.4;0.6,Power,0.9741,87,1.0.0
4,0.05,0.9,0.6,0.4,0.3,10000,20470283,P2,alternative,0.2;0.4;0.2;0.6;0.2;0.6;0.4;0.6,Power,0.9477,87,1.0.0
4,0.05,0.9,0.6,0.4,0.3,10000,20470283,P3,alternative,0.2;0.4;0.2;0.4;0.2;0.6;0.2;0.6,Power,0.9693,87,1.0.0
4,0.1,0.8,0.3,0.1,0,10000,20365554,H0_s0_k0,null,0.4;0.3;0.4;0.3;0.4;0.3;0.4;0.3,Type I error,0.067,49,1.0.0
4,0.1,0.8,0.3,0.1,0,10000,20365554,H0_s0_k1,null,0.4;0.1;0.4;0.3;0.4;0.3;0.4;0.3,Type I error,0.0087,49,1.0.0
4,0.1,0.8,0.3,0.1,0,10000,20365554,H0_s0_k2,null,0.4;0.1;0.4;0.1;0.4;0.3;0.4;0.3,Type I error,0.0017,49,1.0.0
4,0.1,0.8,0.3,0.1,0,10000,20365554,H0_s0_k3,null,0.4;0.1;0.4;0.1;0.4;0.1;0.4;0.3,Type I error,0.0003,49,1.0.0
4,0.1,0.8,0.3,0.1,0,10000,20365554,H0_s0_k4,null,0.4;0.1;0.4;0.1;0.4;0.1;0.4;0.1,Type I error,0,49,1.0.0
4,0.1,0.8,0.3,0.1,0,10000,20365554,H0_s1_k1,null,0.2;0.1;0.4;0.3;0.4;0.3;0.4;0.3,Type I error,0.0752,49,1.0.0
4,0.1,0.8,0.3,0.1,0,10000,20365554,H0_s1_k2,null,0.2;0.1;0.4;0.1;0.4;0.3;0.4;0.3,Type I error,0.009,49,1.0.0
4,0.1,0.8,0.3,0.1,0,10000,20365554,H0_s1_k3,null,0.2;0.1;0.4;0.1;0.4;0.1;0.4;0.3,Type I error,0.0012,49,1.0.0
4,0.1,0.8,0.3,0.1,0,10000,20365554,H0_s1_k4,null,0.2;0.1;0.4;0.1;0.4;0.1;0.4;0.1,Type I error,0,49,1.0.0
4,0.1,0.8,0.3,0.1,0,10000,20365554,H0_s2_k2,null,0.2;0.1;0.2;0.1;0.4;0.3;0.4;0.3,Type I error,0.0798,49,1.0.0
4,0.1,0.8,0.3,0.1,0,10000,20365554,H0_s2_k3,null,0.2;0.1;0.2;0.1;0.4;0.1;0.4;0.3,Type I error,0.0079,49,1.0.0
4,0.1,0.8,0.3,0.1,0,10000,20365554,H0_s2_k4,null,0.2;0.1;0.2;0.1;0.4;0.1;0.4;0.1,Type I error,0.0003,49,1.0.0
4,0.1,0.8,0.3,0.1,0,10000,20365554,H0_s3_k3,null,0.2;0.1;0.2;0.1;0.2;0.1;0.4;0.3,Type I error,0.0777,49,1.0.0
4,0.1,0.8,0.3,0.1,0,10000,20365554,H0_s3_k4,null,0.2;0.1;0.2;0.1;0.2;0.1;0.4;0.1,Type I error,0.0024,49,1.0.0
4,0.1,0.8,0.3,0.1,0,10000,20365554,H0_s4_k4,null,0.2;0.1;0.2;0.1;0.2;0.1;0.2;0.1,Type I error,0.0194,49,1.0.0
4,0.1,0.8,0.3,0.1,0,10000,20365554,W1,alternative,0.2;0.3;0.4;0.3;0.4;0.3;0.4;0.3,Power,0.8327,49,1.0.0
4,0.1,0.8,0.3,0.1,0,10000,20365554,W2,alternative,0.2;0.1;0.2;0.3;0.4;0.3;0.4;0.3,Power,0.8081,49,1.0.0
4,0.1,0.8,0.3,0.1,0,10000,20365554,W3,alternative,0.2;0.1;0.2;0.1;0.2;0.3;0.4;0.3,Power,0.8211,49,1.0.0
4,0.1,0.8,0.3,0.1,0,10000,20365554,W4,alternative,0.2;0.1;0.2;0.1;0.2;0.1;0.2;0.3,Power,0.8747,49,1.0.0
4,0.1,0.8,0.3,0.1,0,10000,20365554,P1,alternative,0.2;0.3;0.2;0.3;0.4;0.3;0.4;0.3,Power,0.9132,49,1.0.0
4,0.1,0.8,0.3,0.1,0,10000,20365554,P2,alternative,0.2;0.1;0.2;0.3;0.2;0.3;0.4;0.3,Power,0.901,49,1.0.0
4,0.1,0.8,0.3,0.1,0,10000,20365554,P3,alternative,0.2;0.1;0.2;0.1;0.2;0.3;0.2;0.3,Power,0.9601,49,1.0.0
4,0.1,0.8,0.3,0.1,0.3,10000,20470283,H0_s0_k0,null,0.4;0.3;0.4;0.3;0.4;0.3;0.4;0.3,Type I error,0.066,49,1.0.0
4,0.1,0.8,0.3,0.1,0.3,10000,20470283,H0_s0_k1,null,0.4;0.1;0.4;0.3;0.4;0.3;0.4;0.3,Type I error,0.0089,49,1.0.0
4,0.1,0.8,0.3,0.1,0.3,10000,20470283,H0_s0_k2,null,0.4;0.1;0.4;0.1;0.4;0.3;0.4;0.3,Type I error,0.0009,49,1.0.0
4,0.1,0.8,0.3,0.1,0.3,10000,20470283,H0_s0_k3,null,0.4;0.1;0.4;0.1;0.4;0.1;0.4;0.3,Type I error,0.0002,49,1.0.0
4,0.1,0.8,0.3,0.1,0.3,10000,20470283,H0_s0_k4,null,0.4;0.1;0.4;0.1;0.4;0.1;0.4;0.1,Type I error,0,49,1.0.0
4,0.1,0.8,0.3,0.1,0.3,10000,20470283,H0_s1_k1,null,0.2;0.1;0.4;0.3;0.4;0.3;0.4;0.3,Type I error,0.0805,49,1.0.0
4,0.1,0.8,0.3,0.1,0.3,10000,20470283,H0_s1_k2,null,0.2;0.1;0.4;0.1;0.4;0.3;0.4;0.3,Type I error,0.0103,49,1.0.0
4,0.1,0.8,0.3,0.1,0.3,10000,20470283,H0_s1_k3,null,0.2;0.1;0.4;0.1;0.4;0.1;0.4;0.3,Type I error,0.0009,49,1.0.0
4,0.1,0.8,0.3,0.1,0.3,10000,20470283,H0_s1_k4,null,0.2;0.1;0.4;0.1;0.4;0.1;0.4;0.1,Type I error,0,49,1.0.0
4,0.1,0.8,0.3,0.1,0.3,10000,20470283,H0_s2_k2,null,0.2;0.1;0.2;0.1;0.4;0.3;0.4;0.3,Type I error,0.0862,49,1.0.0
4,0.1,0.8,0.3,0.1,0.3,10000,20470283,H0_s2_k3,null,0.2;0.1;0.2;0.1;0.4;0.1;0.4;0.3,Type I error,0.0082,49,1.0.0
4,0.1,0.8,0.3,0.1,0.3,10000,20470283,H0_s2_k4,null,0.2;0.1;0.2;0.1;0.4;0.1;0.4;0.1,Type I error,0.0001,49,1.0.0
4,0.1,0.8,0.3,0.1,0.3,10000,20470283,H0_s3_k3,null,0.2;0.1;0.2;0.1;0.2;0.1;0.4;0.3,Type I error,0.0774,49,1.0.0
4,0.1,0.8,0.3,0.1,0.3,10000,20470283,H0_s3_k4,null,0.2;0.1;0.2;0.1;0.2;0.1;0.4;0.1,Type I error,0.0019,49,1.0.0
4,0.1,0.8,0.3,0.1,0.3,10000,20470283,H0_s4_k4,null,0.2;0.1;0.2;0.1;0.2;0.1;0.2;0.1,Type I error,0.0192,49,1.0.0
4,0.1,0.8,0.3,0.1,0.3,10000,20470283,W1,alternative,0.2;0.3;0.4;0.3;0.4;0.3;0.4;0.3,Power,0.8327,49,1.0.0
4,0.1,0.8,0.3,0.1,0.3,10000,20470283,W2,alternative,0.2;0.1;0.2;0.3;0.4;0.3;0.4;0.3,Power,0.8017,49,1.0.0
4,0.1,0.8,0.3,0.1,0.3,10000,20470283,W3,alternative,0.2;0.1;0.2;0.1;0.2;0.3;0.4;0.3,Power,0.8134,49,1.0.0
4,0.1,0.8,0.3,0.1,0.3,10000,20470283,W4,alternative,0.2;0.1;0.2;0.1;0.2;0.1;0.2;0.3,Power,0.8722,49,1.0.0
4,0.1,0.8,0.3,0.1,0.3,10000,20470283,P1,alternative,0.2;0.3;0.2;0.3;0.4;0.3;0.4;0.3,Power,0.9097,49,1.0.0
4,0.1,0.8,0.3,0.1,0.3,10000,20470283,P2,alternative,0.2;0.1;0.2;0.3;0.2;0.3;0.4;0.3,Power,0.8985,49,1.0.0
4,0.1,0.8,0.3,0.1,0.3,10000,20470283,P3,alternative,0.2;0.1;0.2;0.1;0.2;0.3;0.2;0.3,Power,0.9564,49,1.0.0
4,0.1,0.8,0.6,0.4,0,10000,20365554,H0_s0_k0,null,0.4;0.6;0.4;0.6;0.4;0.6;0.4;0.6,Type I error,0.0321,61,1.0.0
4,0.1,0.8,0.6,0.4,0,10000,20365554,H0_s0_k1,null,0.4;0.4;0.4;0.6;0.4;0.6;0.4;0.6,Type I error,0.0028,61,1.0.0
4,0.1,0.8,0.6,0.4,0,10000,20365554,H0_s0_k2,null,0.4;0.4;0.4;0.4;0.4;0.6;0.4;0.6,Type I error,0.0002,61,1.0.0
