configuration,J,alpha,target,phi_E1,phi_E0,rho,scenario,kind,simulations,seed,fwer,g1,g2
J3_a0p10_p0p90_e0p30_0p10,3,0.1,0.9,0.3,0.1,0.3,H0_s0_k3,null,100000,21174319,0.0,nan,nan
J3_a0p10_p0p90_e0p30_0p10,3,0.1,0.9,0.3,0.1,0.3,H0_s1_k1,null,100000,21175328,0.04278,nan,nan
J3_a0p10_p0p90_e0p30_0p10,3,0.1,0.9,0.3,0.1,0.3,H0_s1_k2,null,100000,21176337,0.00243,nan,nan
J3_a0p10_p0p90_e0p30_0p10,3,0.1,0.9,0.3,0.1,0.3,H0_s1_k3,null,100000,21177346,4e-05,nan,nan
J3_a0p10_p0p90_e0p30_0p10,3,0.1,0.9,0.3,0.1,0.3,H0_s2_k2,null,100000,21178355,0.04107,nan,nan
J3_a0p10_p0p90_e0p30_0p10,3,0.1,0.9,0.3,0.1,0.3,H0_s2_k3,null,100000,21179364,0.00047,nan,nan
J3_a0p10_p0p90_e0p30_0p10,3,0.1,0.9,0.3,0.1,0.3,H0_s3_k3,null,100000,21180373,0.01196,nan,nan
J3_a0p10_p0p90_e0p30_0p10,3,0.1,0.9,0.3,0.1,0.3,W1,alternative,100000,21181382,nan,0.91342,0.9454
J3_a0p10_p0p90_e0p30_0p10,3,0.1,0.9,0.3,0.1,0.3,W2,alternative,100000,21182391,nan,0.89833,0.94328
J3_a0p10_p0p90_e0p30_0p10,3,0.1,0.9,0.3,0.1,0.3,W3,alternative,100000,21183400,nan,0.92812,0.942
J3_a0p10_p0p90_e0p30_0p10,3,0.1,0.9,0.3,0.1,0.3,P1,alternative,100000,21184409,nan,0.96306,0.99406
J3_a0p10_p0p90_e0p30_0p10,3,0.1,0.9,0.3,0.1,0.3,P2,alternative,100000,21185418,nan,0.97922,0.99332
J3_a0p10_p0p90_e0p60_0p40,3,0.1,0.9,0.6,0.4,0.0,H0_s0_k0,null,100000,21066563,0.02389,nan,nan
J3_a0p10_p0p90_e0p60_0p40,3,0.1,0.9,0.6,0.4,0.0,H0_s0_k1,null,100000,21067572,0.00213,nan,nan
J3_a0p10_p0p90_e0p60_0p40,3,0.1,0.9,0.6,0.4,0.0,H0_s0_k2,null,100000,21068581,0.00014,nan,nan
J3_a0p10_p0p90_e0p60_0p40,3,0.1,0.9,0.6,0.4,0.0,H0_s0_k3,null,100000,21069590,4e-05,nan,nan
J3_a0p10_p0p90_e0p60_0p40,3,0.1,0.9,0.6,0.4,0.0,H0_s1_k1,null,100000,21070599,0.06009,nan,nan
J3_a0p10_p0p90_e0p60_0p40,3,0.1,0.9,0.6,0.4,0.0,H0_s1_k2,null,100000,21071608,0.00533,nan,nan
J3_a0p10_p0p90_e0p60_0p40,3,0.1,0.9,0.6,0.4,0.0,H0_s1_k3,null,100000,21072617,0.00065,nan,nan
J3_a0p10_p0p90_e0p60_0p40,3,0.1,0.9,0.6,0.4,0.0,H0_s2_k2,null,100000,21073626,0.05993,nan,nan
J3_a0p10_p0p90_e0p60_0p40,3,0.1,0.9,0.6,0.4,0.0,H0_s2_k3,null,100000,21074635,0.00415,nan,nan
J3_a0p10_p0p90_e0p60_0p40,3,0.1,0.9,0.6,0.4,0.0,H0_s3_k3,null,100000,21075644,0.03828,nan,nan
J3_a0p10_p0p90_e0p60_0p40,3,0.1,0.9,0.6,0.4,0.0,W1,alternative,100000,21076653,nan,0.93617,0.95917
J3_a0p10_p0p90_e0p60_0p40,3,0.1,0.9,0.6,0.4,0.0,W2,alternative,100000,21077662,nan,0.9011,0.95953
J3_a0p10_p0p90_e0p60_0p40,3,0.1,0.9,0.6,0.4,0.0,W3,alternative,100000,21078671,nan,0.92308,0.96164
J3_a0p10_p0p90_e0p60_0p40,3,0.1,0.9,0.6,0.4,0.0,P1,alternative,100000,21079680,nan,0.97416,0.99674
J3_a0p10_p0p90_e0p60_0p40,3,0.1,0.9,0.6,0.4,0.0,P2,alternative,100000,21080689,nan,0.95847,0.99683
J3_a0p10_p0p90_e0p60_0p40,3,0.1,0.9,0.6,0.4,0.3,H0_s0_k0,null,100000,21171292,0.0219,nan,nan
J3_a0p10_p0p90_e0p60_0p40,3,0.1,0.9,0.6,0.4,0.3,H0_s0_k1,null,100000,21172301,0.00112,nan,nan
J3_a0p10_p0p90_e0p60_0p40,3,0.1,0.9,0.6,0.4,0.3,H0_s0_k2,null,100000,21173310,8e-05,nan,nan
J3_a0p10_p0p90_e0p60_0p40,3,0.1,0.9,0.6,0.4,0.3,H0_s0_k3,null,100000,21174319,0.0,nan,nan
J3_a0p10_p0p90_e0p60_0p40,3,0.1,0.9,0.6,0.4,0.3,H0_s1_k1,null,100000,21175328,0.05471,nan,nan
J3_a0p10_p0p90_e0p60_0p40,3,0.1,0.9,0.6,0.4,0.3,H0_s1_k2,null,100000,21176337,0.00425,nan,nan
J3_a0p10_p0p90_e0p60_0p40,3,0.1,0.9,0.6,0.4,0.3,H0_s1_k3,null,100000,21177346,0.00032,nan,nan
J3_a0p10_p0p90_e0p60_0p40,3,0.1,0.9,0.6,0.4,0.3,H0_s2_k2,null,100000,21178355,0.05614,nan,nan
J3_a0p10_p0p90_e0p60_0p40,3,0.1,0.9,0.6,0.4,0.3,H0_s2_k3,null,100000,21179364,0.00336,nan,nan
J3_a0p10_p0p90_e0p60_0p40,3,0.1,0.9,0.6,0.4,0.3,H0_s3_k3,null,100000,21180373,0.03696,nan,nan
J3_a0p10_p0p90_e0p60_0p40,3,0.1,0.9,0.6,0.4,0.3,W1,alternative,100000,21181382,nan,0.93828,0.96103
J3_a0p10_p0p90_e0p60_0p40,3,0.1,0.9,0.6,0.4,0.3,W2,alternative,100000,21182391,nan,0.90165,0.95934
J3_a0p10_p0p90_e0p60_0p40,3,0.1,0.9,0.6,0.4,0.3,W3,alternative,100000,21183400,nan,0.92091,0.95975
J3_a0p10_p0p90_e0p60_0p40,3,0.1,0.9,0.6,0.4,0.3,P1,alternative,100000,21184409,nan,0.9737,0.99668
J3_a0p10_p0p90_e0p60_0p40,3,0.1,0.9,0.6,0.4,0.3,P2,alternative,100000,21185418,nan,0.96015,0.99702
J4_a0p05_p0p80_e0p30_0p10,4,0.05,0.8,0.3,0.1,0.0,H0_s0_k0,null,100000,21066563,0.03463,nan,nan
J4_a0p05_p0p80_e0p30_0p10,4,0.05,0.8,0.3,0.1,0.0,H0_s0_k1,null,100000,21067572,0.00293,nan,nan
J4_a0p05_p0p80_e0p30_0p10,4,0.05,0.8,0.3,0.1,0.0,H0_s0_k2,null,100000,21068581,0.00022,nan,nan
J4_a0p05_p0p80_e0p30_0p10,4,0.05,0.8,0.3,0.1,0.0,H0_s0_k3,null,100000,21069590,1e-05,nan,nan
J4_a0p05_p0p80_e0p30_0p10,4,0.05,0.8,0.3,0.1,0.0,H0_s0_k4,null,100000,21070599,0.0,nan,nan
J4_a0p05_p0p80_e0p30_0p10,4,0.05,0.8,0.3,0.1,0.0,H0_s1_k1,null,100000,21071608,0.04347,nan,nan
J4_a0p05_p0p80_e0p30_0p10,4,0.05,0.8,0.3,0.1,0.0,H0_s1_k2,null,100000,21072617,0.0032,nan,nan
J4_a0p05_p0p80_e0p30_0p10,4,0.05,0.8,0.3,0.1,0.0,H0_s1_k3,null,100000,21073626,0.00017,nan,nan
J4_a0p05_p0p80_e0p30_0p10,4,0.05,0.8,0.3,0.1,0.0,H0_s1_k4,null,100000,21074635,1e-05,nan,nan
J4_a0p05_p0p80_e0p30_0p10,4,0.05,0.8,0.3,0.1,0.0,H0_s2_k2,null,100000,21075644,0.04197,nan,nan
J4_a0p05_p0p80_e0p30_0p10,4,0.05,0.8,0.3,0.1,0.0,H0_s2_k3,null,100000,21076653,0.00252,nan,nan
J4_a0p05_p0p80_e0p30_0p10,4,0.05,0.8,0.3,0.1,0.0,H0_s2_k4,null,100000,21077662,4e-05,nan,nan
J4_a0p05_p0p80_e0p30_0p10,4,0.05,0.8,0.3,0.1,0.0,H0_s3_k3,null,100000,21078671,0.04157,nan,nan
J4_a0p05_p0p80_e0p30_0p10,4,0.05,0.8,0.3,0.1,0.0,H0_s3_k4,null,100000,21079680,0.00074,nan,nan
J4_a0p05_p0p80_e0p30_0p10,4,0.05,0.8,0.3,0.1,0.0,H0_s4_k4,null,100000,21080689,0.01235,nan,nan
J4_a0p05_p0p80_e0p30_0p10,4,0.05,0.8,0.3,0.1,0.0,W1,alternative,100000,21081698,nan,0.82536,0.85775
J4_a0p05_p0p80_e0p30_0p10,4,0.05,0.8,0.3,0.1,0.0,W2,alternative,100000,21082707,nan,0.80771,0.8485
J4_a0p05_p0p80_e0p30_0p10,4,0.05,0.8,0.3,0.1,0.0,W3,alternative,100000,21083716,nan,0.80509,0.84527
J4_a0p05_p0p80_e0p30_0p10,4,0.05,0.8,0.3,0.1,0.0,W4,alternative,100000,21084725,nan,0.83879,0.8498
J4_a0p05_p0p80_e0p30_0p10,4,0.05,0.8,0.3,0.1,0.0,P1,alternative,100000,21085734,nan,0.93188,0.96502
J4_a0p05_p0p80_e0p30_0p10,4,0.05,0.8,0.3,0.1,0.0,P2,alternative,100000,21086743,nan,0.9162,0.96054
J4_a0p05_p0p80_e0p30_0p10,4,0.05,0.8,0.3,0.1,0.0,P3,alternative,100000,21087752,nan,0.94863,0.96038
J4_a0p05_p0p80_e0p30_0p10,4,0.05,0.8,0.3,0.1,0.3,H0_s0_k0,null,100000,21171292,0.03081,nan,nan
J4_a0p05_p0p80_e0p30_0p10,4,0.05,0.8,0.3,0.1,0.3,H0_s0_k1,null,100000,21172301,0.00194,nan,nan
J4_a0p05_p0p80_e0p30_0p10,4,0.05,0.8,0.3,0.1,0.3,H0_s0_k2,null,100000,21173310,0.00013,nan,nan
J4_a0p05_p0p80_e0p30_0p10,4,0.05,0.8,0.3,0.1,0.3,H0_s0_k3,null,100000,21174319,0.0,nan,nan
J4_a0p05_p0p80_e0p30_0p10,4,0.05,0.8,0.3,0.1,0.3,H0_s0_k4,null,100000,21175328,0.0,nan,nan
J4_a0p05_p0p80_e0p30_0p10,4,0.05,0.8,0.3,0.1,0.3,H0_s1_k1,null,100000,21176337,0.03739,nan,nan
J4_a0p05_p0p80_e0p30_0p10,4,0.05,0.8,0.3,0.1,0.3,H0_s1_k2,null,100000,21177346,0.0024,nan,nan
J4_a0p05_p0p80_e0p30_0p10,4,0.05,0.8,0.3,0.1,0.3,H0_s1_k3,null,100000,21178355,0.00021,nan,nan
J4_a0p05_p0p80_e0p30_0p10,4,0.05,0.8,0.3,0.1,0.3,H0_s1_k4,null,100000,21179364,0.0,nan,nan
J4_a0p05_p0p80_e0p30_0p10,4,0.05,0.8,0.3,0.1,0.3,H0_s2_k2,null,100000,21180373,0.03691,nan,nan
J4_a0p05_p0p80_e0p30_0p10,4,0.05,0.8,0.3,0.1,0.3,H0_s2_k3,null,100000,21181382,0.00192,nan,nan
J4_a0p05_p0p80_e0p30_0p10,4,0.05,0.8,0.3,0.1,0.3,H0_s2_k4,null,100000,21182391,0.0,nan,nan
J4_a0p05_p0p80_e0p30_0p10,4,0.05,0.8,0.3,0.1,0.3,H0_s3_k3,null,100000,21183400,0.03508,nan,nan
J4_a0p05_p0p80_e0p30_0p10,4,0.05,0.8,0.3,0.1,0.3,H0_s3_k4,null,100000,21184409,0.00025,nan,nan
J4_a0p05_p0p80_e0p30_0p10,4,0.05,0.8,0.3,0.1,0.3,H0_s4_k4,null,100000,21185418,0.00921,nan,nan
J4_a0p05_p0p80_e0p30_0p10,4,0.05,0.8,0.3,0.1,0.3,W1,alternative,100000,21186427,nan,0.82408,0.85569
J4_a0p05_p0p80_e0p30_0p10,4,0.05,0.8,0.3,0.1,0.3,W2,alternative,100000,21187436,nan,0.80454,0.84419
J4_a0p05_p0p80_e0p30_0p10,4,0.05,0.8,0.3,0.1,0.3,W3,alternative,100000,21188445,nan,0.79808,0.83865
J4_a0p05_p0p80_e0p30_0p10,4,0.05,0.8,0.3,0.1,0.3,W4,alternative,100000,21189454,nan,0.83735,0.84747
J4_a0p05_p0p80_e0p30_0p10,4,0.05,0.8,0.3,0.1,0.3,P1,alternative,100000,21190463,nan,0.93016,0.96314
J4_a0p05_p0p80_e0p30_0p10,4,0.05,0.8,0.3,0.1,0.3,P2,alternative,100000,21191472,nan,0.91782,0.96075
J4_a0p05_p0p80_e0p30_0p10,4,0.05,0.8,0.3,0.1,0.3,P3,alternative,100000,21192481,nan,0.94755,0.95946
J4_a0p05_p0p80_e0p60_0p40,4,0.05,0.8,0.6,0.4,0.0,H0_s0_k0,null,100000,21066563,0.02529,nan,nan
J4_a0p05_p0p80_e0p60_0p40,4,0.05,0.8,0.6,0.4,0.0,H0_s0_k1,null,100000,21067572,0.00224,nan,nan
J4_a0p05_p0p80_e0p60_0p40,4,0.05,0.8,0.6,0.4,0.0,H0_s0_k2,null,100000,21068581,0.00013,nan,nan
J4_a0p05_p0p80_e0p60_0p40,4,0.05,0.8,0.6,0.4,0.0,H0_s0_k3,null,100000,21069590,4e-05,nan,nan
J4_a0p05_p0p80_e0p60_0p40,4,0.05,0.8,0.6,0.4,0.0,H0_s0_k4,null,100000,21070599,0.0,nan,nan
J4_a0p05_p0p80_e0p60_0p40,4,0.05,0.8,0.6,0.4,0.0,H0_s1_k1,null,100000,21071608,0.04992,nan,nan
J4_a0p05_p0p80_e0p60_0p40,4,0.05,0.8,0.6,0.4,0.0,H0_s1_k2,null,100000,21072617,0.00401,nan,nan
J4_a0p05_p0p80_e0p60_0p40,4,0.05,0.8,0.6,0.4,0.0,H0_s1_k3,null,100000,21073626,0.00027,nan,nan
J4_a0p05_p0p80_e0p60_0p40,4,0.05,0.8,0.6,0.4,0.0,H0_s1_k4,null,100000,21074635,3e-05,nan,nan
J4_a0p05_p0p80_e0p60_0p40,4,0.05,0.8,0.6,0.4,0.0,H0_s2_k2,null,100000,21075644,0.05051,nan,nan
J4_a0p05_p0p80_e0p60_0p40,4,0.05,0.8,0.6,0.4,0.0,H0_s2_k3,null,100000,21076653,0.00362,nan,nan
J4_a0p05_p0p80_e0p60_0p40,4,0.05,0.8,0.6,0.4,0.0,H0_s2_k4,null,100000,21077662,0.00022,nan,nan
J4_a0p05_p0p80_e0p60_0p40,4,0.05,0.8,0.6,0.4,0.0,H0_s3_k3,null,100000,21078671,0.05033,nan,nan
J4_a0p05_p0p80_e0p60_0p40,4,0.05,0.8,0.6,0.4,0.0,H0_s3_k4,null,100000,21079680,0.00253,nan,nan
J4_a0p05_p0p80_e0p60_0p40,4,0.05,0.8,0.6,0.4,0.0,H0_s4_k4,null,100000,21080689,0.02994,nan,nan
J4_a0p05_p0p80_e0p60_0p40,4,0.05,0.8,0.6,0.4,0.0,W1,alternative,100000,21081698,nan,0.8313,0.85567
J4_a0p05_p0p80_e0p60_0p40,4,0.05,0.8,0.6,0.4,0.0,W2,alternative,100000,21082707,nan,0.80725,0.85552
J4_a0p05_p0p80_e0p60_0p40,4,0.05,0.8,0.6,0.4,0.0,W3,alternative,100000,21083716,nan,0.8058,0.85559
J4_a0p05_p0p80_e0p60_0p40,4,0.05,0.8,0.6,0.4,0.0,W4,alternative,100000,21084725,nan,0.83911,0.86694
J4_a0p05_p0p80_e0p60_0p40,4,0.05,0.8,0.6,0.4,0.0,P1,alternative,100000,21085734,nan,0.93892,0.965
J4_a0p05_p0p80_e0p60_0p40,4,0.05,0.8,0.6,0.4,0.0,P2,alternative,100000,21086743,nan,0.91239,0.96515
J4_a0p05_p0p80_e0p60_0p40,4,0.05,0.8,0.6,0.4,0.0,P3,alternative,100000,21087752,nan,0.94058,0.96848
J4_a0p05_p0p80_e0p60_0p40,4,0.05,0.8,0.6,0.4,0.3,H0_s0_k0,null,100000,21171292,0.02138,nan,nan
J4_a0p05_p0p80_e0p60_0p40,4,0.05,0.8,0.6,0.4,0.3,H0_s0_k1,null,100000,21172301,0.00121,nan,nan
J4_a0p05_p0p80_e0p60_0p40,4,0.05,0.8,0.6,0.4,0.3,H0_s0_k2,null,100000,21173310,7e-05,nan,nan
J4_a0p05_p0p80_e0p60_0p40,4,0.05,0.8,0.6,0.4,0.3,H0_s0_k3,null,100000,21174319,0.0,nan,nan
J4_a0p05_p0p80_e0p60_0p40,4,0.05,0.8,0.6,0.4,0.3,H0_s0_k4,null,100000,21175328,0.0,nan,nan
J4_a0p05_p0p80_e0p60_0p40,4,0.05,0.8,0.6,0.4,0.3,H0_s1_k1,null,100000,21176337,0.04319,nan,nan
J4_a0p05_p0p80_e0p60_0p40,4,0.05,0.8,0.6,0.4,0.3,H0_s1_k2,null,100000,21177346,0.00277,nan,nan
J4_a0p05_p0p80_e0p60_0p40,4,0.05,0.8,0.6,0.4,0.3,H0_s1_k3,null,100000,21178355,0.00021,nan,nan
J4_a0p05_p0p80_e0p60_0p40,4,0.05,0.8,0.6,0.4,0.3,H0_s1_k4,null,100000,21179364,1e-05,nan,nan
J4_a0p05_p0p80_e0p60_0p40,4,0.05,0.8,0.6,0.4,0.3,H0_s2_k2,null,100000,21180373,0.04343,nan,nan
J4_a0p05_p0p80_e0p60_0p40,4,0.05,0.8,0.6,0.4,0.3,H0_s2_k3,null,100000,21181382,0.00264,nan,nan
J4_a0p05_p0p80_e0p60_0p40,4,0.05,0.8,0.6,0.4,0.3,H0_s2_k4,null,100000,21182391,0.00019,nan,nan
J4_a0p05_p0p80_e0p60_0p40,4,0.05,0.8,0.6,0.4,0.3,H0_s3_k3,null,100000,21183400,0.04302,nan,nan
J4_a0p05_p0p80_e0p60_0p40,4,0.05,0.8,0.6,0.4,0.3,H0_s3_k4,null,100000,21184409,0.00171,nan,nan
J4_a0p05_p0p80_e0p60_0p40,4,0.05,0.8,0.6,0.4,0.3,H0_s4_k4,null,100000,21185418,0.02611,nan,nan
J4_a0p05_p0p80_e0p60_0p40,4,0.05,0.8,0.6,0.4,0.3,W1,alternative,100000,21186427,nan,0.8314,0.85432
J4_a0p05_p0p80_e0p60_0p40,4,0.05,0.8,0.6,0.4,0.3,W2,alternative,100000,21187436,nan,0.80353,0.85118
J4_a0p05_p0p80_e0p60_0p40,4,0.05,0.8,0.6,0.4,0.3,W3,alternative,100000,21188445,nan,0.80505,0.85357
J4_a0p05_p0p80_e0p60_0p40,4,0.05,0.8,0.6,0.4,0.3,W4,alternative,100000,21189454,nan,0.83651,0.86402
J4_a0p05_p0p80_e0p60_0p40,4,0.05,0.8,0.6,0.4,0.3,P1,alternative,100000,21190463,nan,0.93961,0.96439
J4_a0p05_p0p80_e0p60_0p40,4,0.05,0.8,0.6,0.4,0.3,P2,alternative,100000,21191472,nan,0.91178,0.96416
J4_a0p05_p0p80_e0p60_0p40,4,0.05,0.8,0.6,0.4,0.3,P3,alternative,100000,21192481,nan,0.93829,0.96699
J4_a0p05_p0p90_e0p30_0p10,4,0.05,0.9,0.3,0.1,0.0,H0_s0_k0,null,100000,21066563,0.03995,nan,nan
J4_a0p05_p0p90_e0p30_0p10,4,0.05,0.9,0.3,0.1,0.0,H0_s0_k1,null,100000,21067572,0.00381,nan,nan
J4_a0p05_p0p90_e0p30_0p10,4,0.05,0.9,0.3,0.1,0.0,H0_s0_k2,null,100000,21068581,0.00033,nan,nan
J4_a0p05_p0p90_e0p30_0p10,4,0.05,0.9,0.3,0.1,0.0,H0_s0_k3,null,100000,21069590,1e-05,nan,nan
J4_a0p05_p0p90_e0p30_0p10,4,0.05,0.9,0.3,0.1,0.0,H0_s0_k4,null,100000,21070599,0.0,nan,nan
J4_a0p05_p0p90_e0p30_0p10,4,0.05,0.9,0.3,0.1,0.0,H0_s1_k1,null,100000,21071608,0.04602,nan,nan
J4_a0p05_p0p90_e0p30_0p10,4,0.05,0.9,0.3,0.1,0.0,H0_s1_k2,null,100000,21072617,0.00371,nan,nan
J4_a0p05_p0p90_e0p30_0p10,4,0.05,0.9,0.3,0.1,0.0,H0_s1_k3,null,100000,21073626,0.00023,nan,nan
J4_a0p05_p0p90_e0p30_0p10,4,0.05,0.9,0.3,0.1,0.0,H0_s1_k4,null,100000,21074635,0.0,nan,nan
J4_a0p05_p0p90_e0p30_0p10,4,0.05,0.9,0.3,0.1,0.0,H0_s2_k2,null,100000,21075644,0.04539,nan,nan
J4_a0p05_p0p90_e0p30_0p10,4,0.05,0.9,0.3,0.1,0.0,H0_s2_k3,null,100000,21076653,0.00293,nan,nan
J4_a0p05_p0p90_e0p30_0p10,4,0.05,0.9,0.3,0.1,0.0,H0_s2_k4,null,100000,21077662,4e-05,nan,nan
J4_a0p05_p0p90_e0p30_0p10,4,0.05,0.9,0.3,0.1,0.0,H0_s3_k3,null,100000,21078671,0.04387,nan,nan
J4_a0p05_p0p90_e0p30_0p10,4,0.05,0.9,0.3,0.1,0.0,H0_s3_k4,null,100000,21079680,0.00041,nan,nan
J4_a0p05_p0p90_e0p30_0p10,4,0.05,0.9,0.3,0.1,0.0,H0_s4_k4,null,100000,21080689,0.00809,nan,nan
J4_a0p05_p0p90_e0p30_0p10,4,0.05,0.9,0.3,0.1,0.0,W1,alternative,100000,21081698,nan,0.90828,0.94752
J4_a0p05_p0p90_e0p30_0p10,4,0.05,0.9,0.3,0.1,0.0,W2,alternative,100000,21082707,nan,0.90191,0.9461
J4_a0p05_p0p90_e0p30_0p10,4,0.05,0.9,0.3,0.1,0.0,W3,alternative,100000,21083716,nan,0.90259,0.94537
J4_a0p05_p0p90_e0p30_0p10,4,0.05,0.9,0.3,0.1,0.0,W4,alternative,100000,21084725,nan,0.93928,0.94672
J4_a0p05_p0p90_e0p30_0p10,4,0.05,0.9,0.3,0.1,0.0,P1,alternative,100000,21085734,nan,0.95529,0.99462
J4_a0p05_p0p90_e0p30_0p10,4,0.05,0.9,0.3,0.1,0.0,P2,alternative,100000,21086743,nan,0.94835,0.99423
J4_a0p05_p0p90_e0p30_0p10,4,0.05,0.9,0.3,0.1,0.0,P3,alternative,100000,21087752,nan,0.98657,0.99418
J4_a0p05_p0p90_e0p30_0p10,4,0.05,0.9,0.3,0.1,0.3,H0_s0_k0,null,100000,21171292,0.03774,nan,nan
J4_a0p05_p0p90_e0p30_0p10,4,0.05,0.9,0.3,0.1,0.3,H0_s0_k1,null,100000,21172301,0.00279,nan,nan
J4_a0p05_p0p90_e0p30_0p10,4,0.05,0.9,0.3,0.1,0.3,H0_s0_k2,null,100000,21173310,0.00022,nan,nan
J4_a0p05_p0p90_e0p30_0p10,4,0.05,0.9,0.3,0.1,0.3,H0_s0_k3,null,100000,21174319,2e-05,nan,nan
J4_a0p05_p0p90_e0p30_0p10,4,0.05,0.9,0.3,0.1,0.3,H0_s0_k4,null,100000,21175328,0.0,nan,nan
J4_a0p05_p0p90_e0p30_0p10,4,0.05,0.9,0.3,0.1,0.3,H0_s1_k1,null,100000,21176337,0.04285,nan,nan
J4_a0p05_p0p90_e0p30_0p10,4,0.05,0.9,0.3,0.1,0.3,H0_s1_k2,null,100000,21177346,0.00302,nan,nan
J4_a0p05_p0p90_e0p30_0p10,4,0.05,0.9,0.3,0.1,0.3,H0_s1_k3,null,100000,21178355,0.00034,nan,nan
J4_a0p05_p0p90_e0p30_0p10,4,0.05,0.9,0.3,0.1,0.3,H0_s1_k4,null,100000,21179364,0.0,nan,nan
J4_a0p05_p0p90_e0p30_0p10,4,0.05,0.9,0.3,0.1,0.3,H0_s2_k2,null,100000,21180373,0.04335,nan,nan
J4_a0p05_p0p90_e0p30_0p10,4,0.05,0.9,0.3,0.1,0.3,H0_s2_k3,null,100000,21181382,0.0029,nan,nan
J4_a0p05_p0p90_e0p30_0p10,4,0.05,0.9,0.3,0.1,0.3,H0_s2_k4,null,100000,21182391,0.0,nan,nan
J4_a0p05_p0p90_e0p30_0p10,4,0.05,0.9,0.3,0.1,0.3,H0_s3_k3,null,100000,21183400,0.04082,nan,nan
J4_a0p05_p0p90_e0p30_0p10,4,0.05,0.9,0.3,0.1,0.3,H0_s3_k4,null,100000,21184409,0.00013,nan,nan
J4_a0p05_p0p90_e0p30_0p10,4,0.05,0.9,0.3,0.1,0.3,H0_s4_k4,null,100000,21185418,0.00682,nan,nan
J4_a0p05_p0p90_e0p30_0p10,4,0.05,0.9,0.3,0.1,0.3,W1,alternative,100000,21186427,nan,0.90825,0.94732
J4_a0p05_p0p90_e0p30_0p10,4,0.05,0.9,0.3,0.1,0.3,W2,alternative,100000,21187436,nan,0.90223,0.94659
J4_a0p05_p0p90_e0p30_0p10,4,0.05,0.9,0.3,0.1,0.3,W3,alternative,100000,21188445,nan,0.90008,0.94406
J4_a0p05_p0p90_e0p30_0p10,4,0.05,0.9,0.3,0.1,0.3,W4,alternative,100000,21189454,nan,0.93995,0.94726
J4_a0p05_p0p90_e0p30_0p10,4,0.05,0.9,0.3,0.1,0.3,P1,alternative,100000,21190463,nan,0.95524,0.99409
J4_a0p05_p0p90_e0p30_0p10,4,0.05,0.9,0.3,0.1,0.3,P2,alternative,100000,21191472,nan,0.94923,0.99399
J4_a0p05_p0p90_e0p30_0p10,4,0.05,0.9,0.3,0.1,0.3,P3,alternative,100000,21192481,nan,0.98649,0.99427
J4_a0p05_p0p90_e0p60_0p40,4,0.05,0.9,0.6,0.4,0.0,H0_s0_k0,null,100000,21066563,0.01946,nan,nan
J4_a0p05_p0p90_e0p60_0p40,4,0.05,0.9,0.6,0.4,0.0,H0_s0_k1,null,100000,21067572,0.00137,nan,nan
J4_a0p05_p0p90_e0p60_0p40,4,0.05,0.9,0.6,0.4,0.0,H0_s0_k2,null,100000,21068581,8e-05,nan,nan
J4_a0p05_p0p90_e0p60_0p40,4,0.05,0.9,0.6,0.4,0.0,H0_s0_k3,null,100000,21069590,2e-05,nan,nan
J4_a0p05_p0p90_e0p60_0p40,4,0.05,0.9,0.6,0.4,0.0,H0_s0_k4,null,100000,21070599,0.0,nan,nan
J4_a0p05_p0p90_e0p60_0p40,4,0.05,0.9,0.6,0.4,0.0,H0_s1_k1,null,100000,21071608,0.04798,nan,nan
J4_a0p05_p0p90_e0p60_0p40,4,0.05,0.9,0.6,0.4,0.0,H0_s1_k2,null,100000,21072617,0.00334,nan,nan
J4_a0p05_p0p90_e0p60_0p40,4,0.05,0.9,0.6,0.4,0.0,H0_s1_k3,null,100000,21073626,0.00026,nan,nan
J4_a0p05_p0p90_e0p60_0p40,4,0.05,0.9,0.6,0.4,0.0,H0_s1_k4,null,100000,21074635,0.0,nan,nan
J4_a0p05_p0p90_e0p60_0p40,4,0.05,0.9,0.6,0.4,0.0,H0_s2_k2,null,100000,21075644,0.04655,nan,nan
J4_a0p05_p0p90_e0p60_0p40,4,0.05,0.9,0.6,0.4,0.0,H0_s2_k3,null,100000,21076653,0.00324,nan,nan
J4_a0p05_p0p90_e0p60_0p40,4,0.05,0.9,0.6,0.4,0.0,H0_s2_k4,null,100000,21077662,0.00016,nan,nan
J4_a0p05_p0p90_e0p60_0p40,4,0.05,0.9,0.6,0.4,0.0,H0_s3_k3,null,100000,21078671,0.04666,nan,nan
J4_a0p05_p0p90_e0p60_0p40,4,0.05,0.9,0.6,0.4,0.0,H0_s3_k4,null,100000,21079680,0.00271,nan,nan
J4_a0p05_p0p90_e0p60_0p40,4,0.05,0.9,0.6,0.4,0.0,H0_s4_k4,null,100000,21080689,0.02939,nan,nan
J4_a0p05_p0p90_e0p60_0p40,4,0.05,0.9,0.6,0.4,0.0,W1,alternative,100000,21081698,nan,0.93224,0.95054
J4_a0p05_p0p90_e0p60_0p40,4,0.05,0.9,0.6,0.4,0.0,W2,alternative,100000,21082707,nan,0.90478,0.95122
J4_a0p05_p0p90_e0p60_0p40,4,0.05,0.9,0.6,0.4,0.0,W3,alternative,100000,21083716,nan,0.90302,0.9507
J4_a0p05_p0p90_e0p60_0p40,4,0.05,0.9,0.6,0.4,0.0,W4,alternative,100000,21084725,nan,0.92284,0.95197
