J,method,xplot,sample_ratio,power_excess,mean_g1,min_g2
2,MERIT,0.835,0.9074074074074074,0.021239999999999926,0.8695966666666667,0.83898
2,Tabata,1.8350000000000002,1.0,0.036953928040484696,0.8868435125031385,0.8532431505154853
2,ROED-EA,2.835,1.0,0.036953928040484696,0.8868435125031385,0.8532431505154853
2,ROED-B,3.835,0.9722222222222222,0.030272309548336596,0.8821285066031274,0.8455494264380801
2,ROED,4.835,0.9629629629629629,0.0339314814062629,0.8838977344275181,0.8501618794896283
2,MERIT,0.845,0.9848484848484849,0.009440000000000004,0.938075,0.9332
2,Tabata,1.8450000000000002,1.0,0.0042986252932611935,0.9372590400549036,0.9229122652758603
2,ROED-EA,2.845,1.0,0.0042986252932611935,0.9372590400549036,0.9229122652758603
2,ROED-B,3.845,0.946969696969697,0.0018456754063199687,0.9331775022383587,0.9170420649483398
2,ROED,4.845,0.946969696969697,0.0018456754063199687,0.9331775022383587,0.9170420649483398
2,MERIT,0.855,1.0,0.010909999999999975,0.86221,0.83635
2,Tabata,1.8550000000000002,1.0,0.02152508707530787,0.8783543470902649,0.854459714248495
2,ROED-EA,2.855,1.0,0.02152508707530787,0.8783543470902649,0.854459714248495
2,ROED-B,3.855,0.9666666666666667,0.020432576362097832,0.8745022367186547,0.8449718499003431
2,ROED,4.855,0.9555555555555556,0.02016616728450149,0.8741441483044272,0.8530463158819609
2,MERIT,0.865,1.0,0.003589999999999982,0.9347,0.93845
2,Tabata,1.8650000000000002,1.0,0.005581514417285494,0.9391386087964616,0.9434856223263457
2,ROED-EA,2.865,0.9833333333333333,0.0046694934971777124,0.9349055802834826,0.9159627694792207
2,ROED-B,3.865,0.95,0.0002561342510037923,0.933303579447525,0.9159627694792207
2,ROED,4.865,0.95,0.0002561342510037923,0.933303579447525,0.9159627694792207
2,MERIT,0.875,0.984375,0.015249999999999986,0.8659866666666667,0.83674
2,Tabata,1.875,1.0,0.006138890147085352,0.8628879727489799,0.820584707001142
2,ROED-EA,2.875,1.0,0.006138890147085352,0.8628879727489799,0.820584707001142
2,ROED-B,3.875,1.0,0.018874808395638376,0.8744355985237947,0.8319352656479162
2,ROED,4.875,0.984375,0.004745318064696025,0.8649516478513372,0.820584707001142
2,MERIT,0.885,1.0123456790123457,0.002610000000000001,0.9349033333333333,0.92605
2,Tabata,1.885,1.0,0.0033288802311645105,0.9339361440593553,0.9203813634678948
2,ROED-EA,2.8850000000000002,1.0,0.0033288802311645105,0.9339361440593553,0.9203813634678948
2,ROED-B,3.8850000000000002,0.9814814814814815,0.003566109620853797,0.9349935352639531,0.9203813634678948
2,ROED,4.885,0.9814814814814815,0.003566109620853797,0.9349935352639531,0.9203813634678948
2,MERIT,0.895,0.9642857142857143,0.004669999999999952,0.858765,0.84205
2,Tabata,1.895,1.0,0.005826647056828116,0.8675574105143188,0.8388225357543333
2,ROED-EA,2.895,1.0,0.008288054221536001,0.8673695304016481,0.8258720158324229
2,ROED-B,3.895,0.9553571428571429,0.010579304007179102,0.8687315511225285,0.8426297265553365
2,ROED,4.8950000000000005,0.9553571428571429,0.010579304007179102,0.8687315511225285,0.8426297265553365
2,MERIT,0.905,0.9866666666666667,0.0023699999999999832,0.9356883333333333,0.95137
2,Tabata,1.905,1.0,0.005842646197298573,0.9378334156900167,0.9417596676286344
2,ROED-EA,2.9050000000000002,0.9866666666666667,0.010003010749813912,0.9391379252565706,0.9323193982055971
2,ROED-B,3.9050000000000002,0.96,0.0023764719232340914,0.935207499003455,0.9311900458956925
2,ROED,4.905,0.9533333333333334,0.004093854717512335,0.935823406936585,0.937521710696738
