x,y
0.78,0.00249
1.22,0.00249
nan,nan
1.78,0.00599076817219
2.22,0.00599076817219
nan,nan
2.78,0.00540419182213
3.22,0.00540419182213
nan,nan
3.78,0.00183334989623
4.22,0.00183334989623
nan,nan
4.78,0.00193373746414
5.22,0.00193373746414
nan,nan
