phi_E1,phi_E0,J,mean_roed_s_total_n,mean_roed_total_n,mean_roed_s_nominal_g1,mean_roed_s_full_min_g1,mean_roed_full_min_g1,mean_roed_s_power_loss
0.3,0.1,2,52.25,107.25,0.857684516956364,3.587794239899251e-08,0.864049864587022,0.8576844810784217
0.3,0.1,3,63.5,180.25,0.8564437769645048,2.4710760955936713e-08,0.8534122600270535,0.8564437522537438
0.3,0.1,4,75.5,258.25,0.8568472853153012,1.738888617326795e-08,0.8517338622968129,0.856847267926415
0.6,0.4,2,62.75,133.75,0.8628629152665002,0.00013338247279843653,0.8557461466025603,0.8627295327937017
0.6,0.4,3,74.25,225.5,0.8641890640783769,0.00010701242759673799,0.8551158276947943,0.8640820516507801
0.6,0.4,4,86.5,323,0.864190675775951,5.986794794021584e-05,0.8515611254031062,0.8641308078280108
