J,alpha,target,phi_E1,phi_E0,repetition,elapsed_seconds,retained_candidates
2,0.1,0.8,0.3,0.1,10,229.85731910000322,16700
2,0.1,0.8,0.3,0.1,11,234.35855279996758,16700
2,0.1,0.8,0.3,0.1,12,223.6796561999945,16700
2,0.1,0.8,0.3,0.1,13,215.01470269996207,16700
2,0.1,0.8,0.3,0.1,14,222.01979770004982,16700
2,0.1,0.8,0.3,0.1,15,259.5471336999908,16700
2,0.1,0.8,0.3,0.1,16,257.14917420002166,16700
2,0.1,0.8,0.3,0.1,17,356.6626467999886,16700
2,0.1,0.8,0.3,0.1,18,338.1709795999923,16700
2,0.1,0.8,0.3,0.1,19,350.46687070000917,16700
2,0.1,0.8,0.3,0.1,20,354.29513990000123,16700
2,0.1,0.8,0.6,0.4,1,185.45500839996384,12813
2,0.1,0.8,0.6,0.4,2,193.0772844000021,12813
2,0.1,0.8,0.6,0.4,3,203.33502529998077,12813
2,0.1,0.8,0.6,0.4,4,200.09524679998867,12813
2,0.1,0.8,0.6,0.4,5,180.24639730004128,12813
2,0.1,0.8,0.6,0.4,6,175.96512830001302,12813
2,0.1,0.8,0.6,0.4,7,181.00666860002093,12813
2,0.1,0.8,0.6,0.4,8,184.02648930001305,12813
2,0.1,0.8,0.6,0.4,9,183.94001719995867,12813
2,0.1,0.8,0.6,0.4,10,176.81529719999526,12813
2,0.1,0.8,0.6,0.4,11,179.43783390003955,12813
2,0.1,0.8,0.6,0.4,12,179.90068929997506,12813
2,0.1,0.8,0.6,0.4,13,183.70025609998265,12813
2,0.1,0.8,0.6,0.4,14,182.19157580001047,12813
2,0.1,0.8,0.6,0.4,15,181.76806339999894,12813
2,0.1,0.8,0.6,0.4,16,186.33524960000068,12813
2,0.1,0.8,0.6,0.4,17,190.0212561999797,12813
2,0.1,0.8,0.6,0.4,18,184.25317670003278,12813
2,0.1,0.8,0.6,0.4,19,182.855207399989,12813
2,0.1,0.8,0.6,0.4,20,191.74454609997338,12813
2,0.1,0.9,0.3,0.1,1,283.8323681000038,12265
2,0.1,0.9,0.3,0.1,2,285.84601139998995,12265
2,0.1,0.9,0.3,0.1,3,397.68475709995255,12265
2,0.1,0.9,0.3,0.1,4,392.66928549995646,12265
2,0.1,0.9,0.3,0.1,5,438.0460032999981,12265
2,0.1,0.9,0.3,0.1,6,454.3885782000143,12265
2,0.1,0.9,0.3,0.1,7,350.8955493000103,12265
2,0.1,0.9,0.3,0.1,8,360.2685353999841,12265
2,0.1,0.9,0.3,0.1,9,228.31133759999648,12265
2,0.1,0.9,0.3,0.1,10,218.04104929999448,12265
2,0.1,0.9,0.3,0.1,11,218.77032310003415,12265
2,0.1,0.9,0.3,0.1,12,230.0685728000244,12265
2,0.1,0.9,0.3,0.1,13,226.4158585999976,12265
2,0.1,0.9,0.3,0.1,14,223.002984700026,12265
2,0.1,0.9,0.3,0.1,15,246.47410699998727,12265
2,0.1,0.9,0.3,0.1,16,293.19937749998644,12265
2,0.1,0.9,0.3,0.1,17,255.63580220000586,12265
2,0.1,0.9,0.3,0.1,18,270.80445319996215,12265
2,0.1,0.9,0.3,0.1,19,230.6484565999708,12265
2,0.1,0.9,0.3,0.1,20,214.28203659999417,12265
2,0.1,0.9,0.6,0.4,1,79.5676206999924,8800
2,0.1,0.9,0.6,0.4,2,81.61262229998829,8800
2,0.1,0.9,0.6,0.4,3,81.92097070004093,8800
2,0.1,0.9,0.6,0.4,4,81.39958109997679,8800
2,0.1,0.9,0.6,0.4,5,79.46439539996209,8800
2,0.1,0.9,0.6,0.4,6,80.32718379999278,8800
2,0.1,0.9,0.6,0.4,7,79.25054590002401,8800
2,0.1,0.9,0.6,0.4,8,80.65636709996033,8800
2,0.1,0.9,0.6,0.4,9,78.76316569995834,8800
2,0.1,0.9,0.6,0.4,10,81.5900224999641,8800
2,0.1,0.9,0.6,0.4,11,79.24823169998126,8800
2,0.1,0.9,0.6,0.4,12,79.50962939998135,8800
2,0.1,0.9,0.6,0.4,13,77.86014899995644,8800
2,0.1,0.9,0.6,0.4,14,80.74752279999666,8800
2,0.1,0.9,0.6,0.4,15,79.65684409998357,8800
2,0.1,0.9,0.6,0.4,16,78.77653020003345,8800
2,0.1,0.9,0.6,0.4,17,76.99330230004853,8800
2,0.1,0.9,0.6,0.4,18,79.14371579996077,8800
2,0.1,0.9,0.6,0.4,19,80.50277160003316,8800
2,0.1,0.9,0.6,0.4,20,82.0685078999959,8800
3,0.05,0.8,0.3,0.1,1,364.9697479000315,23649
3,0.05,0.8,0.3,0.1,2,367.7541913000168,23649
3,0.05,0.8,0.3,0.1,3,361.8401309999754,23649
3,0.05,0.8,0.3,0.1,4,378.6684018000378,23649
3,0.05,0.8,0.3,0.1,5,372.70615039998665,23649
3,0.05,0.8,0.3,0.1,6,372.8791456000181,23649
3,0.05,0.8,0.3,0.1,7,370.25244509999175,23649
3,0.05,0.8,0.3,0.1,8,374.4507003999897,23649
3,0.05,0.8,0.3,0.1,9,365.00783150002826,23649
3,0.05,0.8,0.3,0.1,10,373.3477505000192,23649
3,0.05,0.8,0.3,0.1,11,362.6726796000148,23649
3,0.05,0.8,0.3,0.1,12,371.15225749998353,23649
3,0.05,0.8,0.3,0.1,13,339.48792460002005,23649
3,0.05,0.8,0.3,0.1,14,349.25824809999904,23649
3,0.05,0.8,0.3,0.1,15,342.49015899997903,23649
3,0.05,0.8,0.3,0.1,16,367.5229840000393,23649
3,0.05,0.8,0.3,0.1,17,387.42200530000264,23649
3,0.05,0.8,0.3,0.1,18,392.3207380999811,23649
3,0.05,0.8,0.3,0.1,19,378.4855007000151,23649
3,0.05,0.8,0.3,0.1,20,377.6243685000227,23649
3,0.05,0.8,0.6,0.4,1,195.06868089997442,16560
3,0.05,0.8,0.6,0.4,2,189.2016888000071,16560
3,0.05,0.8,0.6,0.4,3,191.74671849998413,16560
3,0.05,0.8,0.6,0.4,4,194.88905459997477,16560
3,0.05,0.8,0.6,0.4,5,194.79448189999675,16560
3,0.05,0.8,0.6,0.4,6,191.7898286000127,16560
3,0.05,0.8,0.6,0.4,7,189.28378750005504,16560
3,0.05,0.8,0.6,0.4,8,191.42178410000633,16560
3,0.05,0.8,0.6,0.4,9,197.72420920000877,16560
3,0.05,0.8,0.6,0.4,10,190.2771991000045,16560
3,0.05,0.8,0.6,0.4,11,187.10472410003422,16560
3,0.05,0.8,0.6,0.4,12,189.48519289999967,16560
3,0.05,0.8,0.6,0.4,13,192.91458839998813,16560
3,0.05,0.8,0.6,0.4,14,189.20688680000603,16560
3,0.05,0.8,0.6,0.4,15,187.6487803000491,16560
3,0.05,0.8,0.6,0.4,16,190.92021110001951,16560
3,0.05,0.8,0.6,0.4,17,196.79409479995957,16560
3,0.05,0.8,0.6,0.4,18,192.23059689998627,16560
3,0.05,0.8,0.6,0.4,19,189.04421680001542,16560
3,0.05,0.8,0.6,0.4,20,190.62006280000787,16560
3,0.05,0.9,0.3,0.1,1,141.97655169997597,16515
3,0.05,0.9,0.3,0.1,2,137.14523869997356,16515
3,0.05,0.9,0.3,0.1,3,136.69878430000972,16515
3,0.05,0.9,0.3,0.1,4,138.95197250001365,16515
3,0.05,0.9,0.3,0.1,5,140.43118359998334,16515
3,0.05,0.9,0.3,0.1,6,143.8449052000069,16515
3,0.05,0.9,0.3,0.1,7,142.90361809998285,16515
3,0.05,0.9,0.3,0.1,8,144.05853260000004,16515
3,0.05,0.9,0.3,0.1,9,143.81252969999332,16515
3,0.05,0.9,0.3,0.1,10,140.1528231999837,16515
3,0.05,0.9,0.3,0.1,11,139.93534260004526,16515
3,0.05,0.9,0.3,0.1,12,139.04207660001703,16515
3,0.05,0.9,0.3,0.1,13,144.40443470003083,16515
3,0.05,0.9,0.3,0.1,14,145.10116399999242,16515
3,0.05,0.9,0.3,0.1,15,144.9750256999978,16515
3,0.05,0.9,0.3,0.1,16,146.01986360002775,16515
3,0.05,0.9,0.3,0.1,17,144.04903469997225,16515
3,0.05,0.9,0.3,0.1,18,145.08702529995935,16515
3,0.05,0.9,0.3,0.1,19,145.4954789999756,16515
3,0.05,0.9,0.3,0.1,20,148.46685780002736,16515
3,0.05,0.9,0.6,0.4,1,56.0420468999655,10483
3,0.05,0.9,0.6,0.4,2,53.906411100004334,10483
3,0.05,0.9,0.6,0.4,3,53.37885370000731,10483
3,0.05,0.9,0.6,0.4,4,54.926834899990354,10483
3,0.05,0.9,0.6,0.4,5,56.41575859999284,10483
3,0.05,0.9,0.6,0.4,6,55.677950599987525,10483
3,0.05,0.9,0.6,0.4,7,54.21840209997026,10483
3,0.05,0.9,0.6,0.4,8,55.098501300031785,10483
3,0.05,0.9,0.6,0.4,9,56.6908522999729,10483
3,0.05,0.9,0.6,0.4,10,55.55529009999009,10483
3,0.05,0.9,0.6,0.4,11,53.613508000038564,10483
3,0.05,0.9,0.6,0.4,12,54.11590959999012,10483
3,0.05,0.9,0.6,0.4,13,56.08461309998529,10483
3,0.05,0.9,0.6,0.4,14,55.23794789996464,10483
3,0.05,0.9,0.6,0.4,15,54.598244000051636,10483
3,0.05,0.9,0.6,0.4,16,55.12103050004225,10483
