J,alpha,target,phi_E1,phi_E0,repetition,elapsed_seconds,retained_candidates
4,0.1,0.9,0.3,0.1,7,878.6283395999926,32651
4,0.1,0.9,0.3,0.1,8,858.1577607999789,32651
4,0.1,0.9,0.3,0.1,9,837.320191900013,32651
4,0.1,0.9,0.3,0.1,10,879.7800619999762,32651
4,0.1,0.9,0.3,0.1,11,870.0086006000056,32651
4,0.1,0.9,0.3,0.1,12,864.4715233999887,32651
4,0.1,0.9,0.3,0.1,13,830.0789655000553,32651
4,0.1,0.9,0.3,0.1,14,860.4754574999679,32651
4,0.1,0.9,0.3,0.1,15,860.2271284000017,32651
4,0.1,0.9,0.3,0.1,16,861.5420241000247,32651
4,0.1,0.9,0.3,0.1,17,839.8296316000051,32651
4,0.1,0.9,0.3,0.1,18,866.4075792999938,32651
4,0.1,0.9,0.3,0.1,19,874.6550120000029,32651
4,0.1,0.9,0.3,0.1,20,866.451112699986,32651
4,0.1,0.9,0.6,0.4,1,2628.118369700038,23764
4,0.1,0.9,0.6,0.4,2,2624.090087999997,23764
4,0.1,0.9,0.6,0.4,3,2723.95074260002,23764
4,0.1,0.9,0.6,0.4,4,2729.995047900011,23764
4,0.1,0.9,0.6,0.4,5,2681.202770099975,23764
4,0.1,0.9,0.6,0.4,6,2671.1211777999997,23764
4,0.1,0.9,0.6,0.4,7,2711.970478000003,23764
4,0.1,0.9,0.6,0.4,8,2719.394710899971,23764
4,0.1,0.9,0.6,0.4,9,2640.7811171999783,23764
4,0.1,0.9,0.6,0.4,10,2629.117694000015,23764
4,0.1,0.9,0.6,0.4,11,2673.8712139999843,23764
4,0.1,0.9,0.6,0.4,12,2700.7707287000376,23764
4,0.1,0.9,0.6,0.4,13,2660.5715664000018,23764
4,0.1,0.9,0.6,0.4,14,2646.3142798999907,23764
4,0.1,0.9,0.6,0.4,15,2670.5202220999636,23764
4,0.1,0.9,0.6,0.4,16,2684.9236743999645,23764
4,0.1,0.9,0.6,0.4,17,2644.7479095999734,23764
4,0.1,0.9,0.6,0.4,18,2630.296227200015,23764
4,0.1,0.9,0.6,0.4,19,2586.606826800038,23764
4,0.1,0.9,0.6,0.4,20,2608.245612400002,23764
