J,alpha,target,phi_E1,phi_E0,delta_T,delta_E,min_g1,mean_g1,min_g2,fwer
2,0.1,0.8,0.6,0.4,0.05,0.05,0.47767202492546873,0.5869482399708555,0.49056422296124524,0.09704046345076678
2,0.1,0.9,0.3,0.1,0.0,0.0,0.9002561342510038,0.933303579447525,0.9159627694792207,0.09174378065171152
2,0.1,0.9,0.3,0.1,0.0,0.025,0.8654275772604442,0.9098274468894013,0.8865240368281667,0.09174378065171152
2,0.1,0.9,0.3,0.1,0.0,0.05,0.7928324275014417,0.862636303485786,0.8093164276508333,0.09174378065171152
2,0.1,0.9,0.3,0.1,0.025,0.0,0.8146053606770176,0.8811193822389957,0.8267096293778177,0.09174378065171152
2,0.1,0.9,0.3,0.1,0.025,0.025,0.7912920751710769,0.857172322112303,0.8019417098665916,0.09174378065171152
2,0.1,0.9,0.3,0.1,0.025,0.05,0.7397694281238445,0.8095688319260063,0.7509992427108091,0.09174378065171152
2,0.1,0.9,0.3,0.1,0.05,0.0,0.6843207946852231,0.7904117094523334,0.6915037710941353,0.09174378065171152
2,0.1,0.9,0.3,0.1,0.05,0.025,0.662058844392981,0.7663670545679248,0.6686578861485574,0.09174378065171152
2,0.1,0.9,0.3,0.1,0.05,0.05,0.6162939517371399,0.7193885920807751,0.6224368339834323,0.09174378065171152
2,0.1,0.9,0.6,0.4,0.0,0.0,0.9040938547175124,0.935823406936585,0.937521710696738,0.09752833121261895
2,0.1,0.9,0.6,0.4,0.0,0.025,0.8515185558643359,0.9006335615334121,0.8804342905955806,0.09752833121261895
2,0.1,0.9,0.6,0.4,0.0,0.05,0.7619255395266198,0.8346664767014566,0.7836903688033603,0.09752833121261895
2,0.1,0.9,0.6,0.4,0.025,0.0,0.8616041090489297,0.9055873700178388,0.8947248527636418,0.09752833121261895
2,0.1,0.9,0.6,0.4,0.025,0.025,0.8136751392402236,0.8699060679328022,0.838407708685212,0.09752833121261895
2,0.1,0.9,0.6,0.4,0.025,0.05,0.7258109684197771,0.8035687273957087,0.7435121044626573,0.09752833121261895
2,0.1,0.9,0.6,0.4,0.05,0.0,0.7730771944141068,0.8387001381671672,0.7985620302939882,0.09752833121261895
2,0.1,0.9,0.6,0.4,0.05,0.025,0.729566615525019,0.802628793050542,0.7517426119553221,0.09752833121261895
2,0.1,0.9,0.6,0.4,0.05,0.05,0.6462483227617662,0.7366973061399306,0.6620090786285378,0.09752833121261895
3,0.05,0.8,0.3,0.1,0.0,0.0,0.8018210243861342,0.8663095018142973,0.8088755302719194,0.048102372343553745
3,0.05,0.8,0.3,0.1,0.0,0.025,0.7321709328584599,0.8187852054761396,0.7474833504142107,0.048102372343553745
3,0.05,0.8,0.3,0.1,0.0,0.05,0.6219681712047863,0.7355956359154574,0.6315469389611946,0.048102372343553745
3,0.05,0.8,0.3,0.1,0.025,0.0,0.6797845178888948,0.7767507450157867,0.6829732425673641,0.048102372343553745
