index,scenario,g1
1,W1_rho0.00,0.8183822087318537
2,W1_rho0.30,0.8197663342494258
3,W2_rho0.00,0.8193493968537442
4,W2_rho0.30,0.8199314530052079
5,W3_rho0.00,0.8203177280269536
6,W3_rho0.30,0.8200966050194958
7,W4_rho0.00,0.8212872036023735
8,W4_rho0.30,0.8202617902989886
9,P1_rho0.00,0.9561875879511375
10,P1_rho0.30,0.9592992842124674
11,P2_rho0.00,0.9573176385161398
12,P2_rho0.30,0.9594925079368556
13,P3_rho0.00,0.9584490246080782
14,P3_rho0.30,0.9596857705807011
