J,alpha,target,phi_E1,phi_E0,method,total_n,sample_ratio_to_tabata,power_excess,min_g1,mean_g1,min_g2,source
2,0.05,0.8,0.3,0.1,MERIT,98,0.9074074074074074,0.021239999999999926,0.82124,0.8695966666666667,0.83898,"local MERIT R implementation 1.0.0; common Bernoulli OC, 100000 trials/scenario"
2,0.05,0.8,0.3,0.1,Tabata,108,1.0,0.036953928040484696,0.8369539280404847,0.8868435125031385,0.8532431505154853,local exact engine
2,0.05,0.8,0.3,0.1,ROED-EA,108,1.0,0.036953928040484696,0.8369539280404847,0.8868435125031385,0.8532431505154853,local exact engine
2,0.05,0.8,0.3,0.1,ROED-B,105,0.9722222222222222,0.030272309548336596,0.8302723095483366,0.8821285066031274,0.8455494264380801,local exact engine
2,0.05,0.8,0.3,0.1,ROED,104,0.9629629629629629,0.0339314814062629,0.8339314814062629,0.8838977344275181,0.8501618794896283,local exact engine
2,0.05,0.8,0.6,0.4,MERIT,126,0.984375,0.015249999999999986,0.81525,0.8659866666666667,0.83674,"local MERIT R implementation 1.0.0; common Bernoulli OC, 100000 trials/scenario"
2,0.05,0.8,0.6,0.4,Tabata,128,1.0,0.006138890147085352,0.8061388901470854,0.8628879727489799,0.820584707001142,local exact engine
2,0.05,0.8,0.6,0.4,ROED-EA,128,1.0,0.006138890147085352,0.8061388901470854,0.8628879727489799,0.820584707001142,local exact engine
2,0.05,0.8,0.6,0.4,ROED-B,128,1.0,0.018874808395638376,0.8188748083956384,0.8744355985237947,0.8319352656479162,local exact engine
2,0.05,0.8,0.6,0.4,ROED,126,0.984375,0.004745318064696025,0.8047453180646961,0.8649516478513372,0.820584707001142,local exact engine
2,0.05,0.9,0.3,0.1,MERIT,130,0.9848484848484849,0.009440000000000004,0.90944,0.938075,0.9332,"local MERIT R implementation 1.0.0; common Bernoulli OC, 100000 trials/scenario"
2,0.05,0.9,0.3,0.1,Tabata,132,1.0,0.0042986252932611935,0.9042986252932612,0.9372590400549036,0.9229122652758603,local exact engine
2,0.05,0.9,0.3,0.1,ROED-EA,132,1.0,0.0042986252932611935,0.9042986252932612,0.9372590400549036,0.9229122652758603,local exact engine
2,0.05,0.9,0.3,0.1,ROED-B,125,0.946969696969697,0.0018456754063199687,0.90184567540632,0.9331775022383587,0.9170420649483398,local exact engine
2,0.05,0.9,0.3,0.1,ROED,125,0.946969696969697,0.0018456754063199687,0.90184567540632,0.9331775022383587,0.9170420649483398,local exact engine
2,0.05,0.9,0.6,0.4,MERIT,164,1.0123456790123457,0.002610000000000001,0.90261,0.9349033333333333,0.92605,"local MERIT R implementation 1.0.0; common Bernoulli OC, 100000 trials/scenario"
2,0.05,0.9,0.6,0.4,Tabata,162,1.0,0.0033288802311645105,0.9033288802311645,0.9339361440593553,0.9203813634678948,local exact engine
2,0.05,0.9,0.6,0.4,ROED-EA,162,1.0,0.0033288802311645105,0.9033288802311645,0.9339361440593553,0.9203813634678948,local exact engine
2,0.05,0.9,0.6,0.4,ROED-B,159,0.9814814814814815,0.003566109620853797,0.9035661096208538,0.9349935352639531,0.9203813634678948,local exact engine
2,0.05,0.9,0.6,0.4,ROED,159,0.9814814814814815,0.003566109620853797,0.9035661096208538,0.9349935352639531,0.9203813634678948,local exact engine
2,0.1,0.8,0.3,0.1,MERIT,90,1.0,0.010909999999999975,0.81091,0.86221,0.83635,"local MERIT R implementation 1.0.0; common Bernoulli OC, 100000 trials/scenario"
2,0.1,0.8,0.3,0.1,Tabata,90,1.0,0.02152508707530787,0.8215250870753079,0.8783543470902649,0.854459714248495,local exact engine
