phi_E1,phi_E0,J,delta_prod,delta_alloc,delta_int,delta_full,u_alpha_tabata,u_alpha_roed,cv_n_roed
0.3,0.1,2,0.5,4.75,0,5.25,0.8545546087290798,0.9667118316045559,0.03201522141669021
0.3,0.1,3,3,8.75,-3,8.75,0.7773987236333892,0.9598514873011754,0.03427216668108872
0.3,0.1,4,3,12,-2.25,12.75,0.8239542952319803,0.9902066654258496,0.043152630429032314
0.6,0.4,2,0.5,3.5,0.25,4.25,0.8611564526597643,0.9748278988881973,0.026788627035497073
0.6,0.4,3,5.25,7,-4.5,7.75,0.8504536082124627,0.9833723809331529,0.024843910797881497
0.6,0.4,4,5,13.75,-3.75,15,0.8158344739096268,0.9829701195860321,0.03364234985768697
